Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
23	20:02:43	20:02:43	20:02:44	20:02:44	20:02:44	20:02:44	20:02:44	20:02:45	20:02:45	20:02:45	20:03:19	20:03:19	20:03:19	20:03:19	20:03:19	20:03:19	20:03:27	20:03:27		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:43
24	20:03:27	20:03:27	20:03:27	20:03:27	20:03:27	20:03:27	20:03:27	20:03:29	20:03:29	20:03:29	20:04:04	20:04:04	20:04:04	20:04:04	20:04:04	20:04:04	20:04:12	20:04:12		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
25	20:04:12	20:04:12	20:04:12	20:04:12	20:04:12	20:04:12	20:04:12	20:04:14	20:04:14	20:04:14	20:04:47	20:04:47	20:04:47	20:04:47	20:04:48	20:04:48	20:04:55	20:04:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:07	00:00:43
26	20:04:55	20:04:55	20:04:56	20:04:56	20:04:56	20:04:56	20:04:56	20:04:57	20:04:57	20:04:57	20:05:32	20:05:32	20:05:32	20:05:32	20:05:32	20:05:32	20:05:40	20:05:40		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:08	00:00:44
27	20:05:40	20:05:40	20:05:41	20:05:41	20:05:41	20:05:41	20:05:41	20:05:42	20:05:42	20:05:42	20:06:12	20:06:12	20:06:12	20:06:12	20:06:12	20:06:12	20:06:19	20:06:19		00:00:00	00:00:00	00:00:01	00:00:01	00:00:29	00:00:00	00:00:00	00:00:07	00:00:39
28	20:06:20	20:06:20	20:06:20	20:06:20	20:06:20	20:06:20	20:06:20	20:06:22	20:06:22	20:06:22	20:06:58	20:06:58	20:06:58	20:06:58	20:06:58	20:06:58	20:07:06	20:07:06		00:00:00	00:00:00	00:00:01	00:00:01	00:00:36	00:00:00	00:00:00	00:00:08	00:00:46
29	20:07:06	20:07:06	20:07:07	20:07:07	20:07:07	20:07:07	20:07:07	20:07:09	20:07:09	20:07:09	20:07:44	20:07:44	20:07:44	20:07:44	20:07:44	20:07:44	20:07:53	20:07:53		00:00:00	00:00:00	00:00:02	00:00:02	00:00:35	00:00:00	00:00:00	00:00:08	00:00:46
30	20:07:53	20:07:53	20:07:53	20:07:53	20:07:53	20:07:53	20:07:53	20:07:55	20:07:55	20:07:55	20:08:30	20:08:30	20:08:30	20:08:30	20:08:30	20:08:30	20:08:38	20:08:38		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:08	00:00:45
31	20:08:38	20:08:38	20:08:39	20:08:39	20:08:39	20:08:39	20:08:39	20:08:41	20:08:41	20:08:41	20:09:15	20:09:15	20:09:15	20:09:15	20:09:15	20:09:15	20:09:23	20:09:23		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
32	20:09:23	20:09:23	20:09:23	20:09:23	20:09:24	20:09:24	20:09:24	20:09:25	20:09:25	20:09:25	20:09:59	20:09:59	20:09:59	20:09:59	20:09:59	20:09:59	20:10:07	20:10:07		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:44
33	20:10:07	20:10:07	20:10:08	20:10:08	20:10:08	20:10:08	20:10:08	20:10:10	20:10:10	20:10:10	20:10:43	20:10:43	20:10:43	20:10:43	20:10:43	20:10:43	20:10:51	20:10:51		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:43
34	20:10:51	20:10:51	20:10:52	20:10:52	20:10:52	20:10:52	20:10:52	20:10:54	20:10:54	20:10:54	20:11:27	20:11:27	20:11:27	20:11:27	20:11:27	20:11:27	20:11:35	20:11:35		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:07	00:00:44
35	20:11:35	20:11:35	20:11:36	20:11:36	20:11:36	20:11:36	20:11:36	20:11:38	20:11:38	20:11:38	20:12:11	20:12:11	20:12:11	20:12:11	20:12:11	20:12:11	20:12:19	20:12:19		00:00:00	00:00:00	00:00:01	00:00:01	00:00:32	00:00:00	00:00:00	00:00:08	00:00:43
36	20:12:19	20:12:19	20:12:20	20:12:20	20:12:20	20:12:20	20:12:20	20:12:22	20:12:22	20:12:22	20:12:54	20:12:54	20:12:54	20:12:54	20:12:55	20:12:55	20:13:03	20:13:03		00:00:00	00:00:00	00:00:01	00:00:01	00:00:32	00:00:00	00:00:00	00:00:08	00:00:43
37	20:13:03	20:13:03	20:13:03	20:13:03	20:13:03	20:13:03	20:13:03	20:13:05	20:13:05	20:13:05	20:13:39	20:13:39	20:13:39	20:13:39	20:13:39	20:13:39	20:13:47	20:13:47		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:43
38	20:13:47	20:13:47	20:13:47	20:13:47	20:13:47	20:13:47	20:13:47	20:13:49	20:13:49	20:13:49	20:14:22	20:14:22	20:14:22	20:14:22	20:14:22	20:14:22	20:14:30	20:14:30		00:00:00	00:00:00	00:00:01	00:00:01	00:00:32	00:00:00	00:00:00	00:00:08	00:00:43
39	20:14:30	20:14:30	20:14:31	20:14:31	20:14:31	20:14:31	20:14:31	20:14:33	20:14:33	20:14:33	20:15:05	20:15:05	20:15:05	20:15:05	20:15:05	20:15:05	20:15:13	20:15:13		00:00:00	00:00:00	00:00:01	00:00:01	00:00:32	00:00:00	00:00:00	00:00:08	00:00:43
40	20:15:13	20:15:13	20:15:14	20:15:14	20:15:14	20:15:14	20:15:14	20:15:16	20:15:16	20:15:16	20:15:49	20:15:49	20:15:49	20:15:49	20:15:49	20:15:49	20:15:58	20:15:58		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:44
41	20:15:58	20:15:58	20:15:58	20:15:58	20:15:58	20:15:58	20:15:58	20:16:00	20:16:00	20:16:00	20:16:33	20:16:33	20:16:33	20:16:33	20:16:33	20:16:33	20:16:42	20:16:42		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:43
42	20:16:42	20:16:42	20:16:42	20:16:42	20:16:42	20:16:42	20:16:42	20:16:44	20:16:44	20:16:44	20:17:17	20:17:17	20:17:17	20:17:17	20:17:17	20:17:17	20:17:25	20:17:25		00:00:00	00:00:00	00:00:01	00:00:01	00:00:32	00:00:00	00:00:00	00:00:08	00:00:43
43	20:17:25	20:17:25	20:17:26	20:17:26	20:17:26	20:17:26	20:17:26	20:17:28	20:17:28	20:17:28	20:18:01	20:18:01	20:18:01	20:18:01	20:18:01	20:18:01	20:18:09	20:18:09		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:44
44	20:18:10	20:18:10	20:18:10	20:18:10	20:18:10	20:18:10	20:18:10	20:18:12	20:18:12	20:18:12	20:18:45	20:18:45	20:18:45	20:18:45	20:18:46	20:18:46	20:18:54	20:18:54		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:44
45	20:18:54	20:18:54	20:18:54	20:18:54	20:18:54	20:18:54	20:18:54	20:18:56	20:18:56	20:18:56	20:19:30	20:19:30	20:19:30	20:19:30	20:19:30	20:19:30	20:19:38	20:19:38		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:08	00:00:44
46	20:19:38	20:19:38	20:19:39	20:19:39	20:19:39	20:19:39	20:19:39	20:19:40	20:19:40	20:19:40	20:20:15	20:20:15	20:20:15	20:20:15	20:20:15	20:20:15	20:20:23	20:20:23		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:08	00:00:44
47	20:20:23	20:20:23	20:20:23	20:20:23	20:20:23	20:20:23	20:20:23	20:20:25	20:20:25	20:20:25	20:20:59	20:20:59	20:20:59	20:20:59	20:21:00	20:21:00	20:21:07	20:21:07		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
48	20:21:08	20:21:08	20:21:08	20:21:08	20:21:08	20:21:08	20:21:08	20:21:10	20:21:10	20:21:10	20:21:44	20:21:44	20:21:44	20:21:44	20:21:44	20:21:44	20:21:52	20:21:52		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
49	20:21:52	20:21:52	20:21:52	20:21:52	20:21:52	20:21:52	20:21:52	20:21:54	20:21:54	20:21:54	20:22:25	20:22:25	20:22:25	20:22:25	20:22:25	20:22:25	20:22:32	20:22:32		00:00:00	00:00:00	00:00:01	00:00:01	00:00:30	00:00:00	00:00:00	00:00:07	00:00:40
50	20:22:32	20:22:32	20:22:33	20:22:33	20:22:33	20:22:33	20:22:33	20:22:34	20:22:34	20:22:34	20:23:12	20:23:12	20:23:12	20:23:12	20:23:12	20:23:12	20:23:21	20:23:21		00:00:00	00:00:00	00:00:01	00:00:01	00:00:37	00:00:00	00:00:00	00:00:08	00:00:48
51	20:23:21	20:23:21	20:23:22	20:23:22	20:23:22	20:23:22	20:23:22	20:23:24	20:23:24	20:23:24	20:24:00	20:24:00	20:24:00	20:24:00	20:24:00	20:24:00	20:24:08	20:24:08		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:08	00:00:46
52	20:24:08	20:24:08	20:24:09	20:24:09	20:24:09	20:24:09	20:24:09	20:24:11	20:24:11	20:24:11	20:24:46	20:24:46	20:24:46	20:24:46	20:24:47	20:24:47	20:24:55	20:24:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:08	00:00:46
53	20:24:55	20:24:55	20:24:55	20:24:55	20:24:55	20:24:55	20:24:55	20:24:57	20:24:57	20:24:57	20:25:31	20:25:31	20:25:31	20:25:31	20:25:32	20:25:32	20:25:39	20:25:39		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
54	20:25:40	20:25:40	20:25:40	20:25:40	20:25:40	20:25:40	20:25:40	20:25:42	20:25:42	20:25:42	20:26:16	20:26:16	20:26:16	20:26:16	20:26:16	20:26:16	20:26:24	20:26:24		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
55	20:26:24	20:26:24	20:26:25	20:26:25	20:26:25	20:26:25	20:26:25	20:26:26	20:26:26	20:26:26	20:27:01	20:27:01	20:27:01	20:27:01	20:27:01	20:27:01	20:27:09	20:27:09		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:08	00:00:45
56	20:27:10	20:27:10	20:27:10	20:27:10	20:27:10	20:27:10	20:27:10	20:27:12	20:27:12	20:27:12	20:27:47	20:27:47	20:27:47	20:27:47	20:27:47	20:27:47	20:27:55	20:27:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:45
57	20:27:55	20:27:55	20:27:55	20:27:55	20:27:55	20:27:55	20:27:55	20:27:57	20:27:57	20:27:57	20:28:32	20:28:32	20:28:32	20:28:32	20:28:32	20:28:32	20:28:40	20:28:40		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:08	00:00:45
58	20:28:40	20:28:40	20:28:40	20:28:40	20:28:40	20:28:40	20:28:40	20:28:42	20:28:42	20:28:42	20:29:17	20:29:17	20:29:17	20:29:17	20:29:17	20:29:17	20:29:25	20:29:25		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
59	20:29:25	20:29:25	20:29:25	20:29:25	20:29:25	20:29:25	20:29:25	20:29:27	20:29:27	20:29:27	20:30:02	20:30:02	20:30:02	20:30:02	20:30:02	20:30:02	20:30:10	20:30:10		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
60	20:30:10	20:30:10	20:30:10	20:30:10	20:30:11	20:30:11	20:30:11	20:30:12	20:30:12	20:30:12	20:30:47	20:30:47	20:30:47	20:30:47	20:30:47	20:30:47	20:30:55	20:30:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
61	20:30:55	20:30:55	20:30:56	20:30:56	20:30:56	20:30:56	20:30:56	20:30:57	20:30:57	20:30:57	20:31:33	20:31:33	20:31:33	20:31:33	20:31:33	20:31:33	20:31:41	20:31:41		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
62	20:31:41	20:31:41	20:31:41	20:31:41	20:31:41	20:31:41	20:31:41	20:31:43	20:31:43	20:31:43	20:32:18	20:32:18	20:32:18	20:32:18	20:32:18	20:32:18	20:32:26	20:32:26		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
63	20:32:26	20:32:26	20:32:26	20:32:26	20:32:26	20:32:26	20:32:26	20:32:28	20:32:28	20:32:28	20:33:03	20:33:03	20:33:03	20:33:03	20:33:03	20:33:03	20:33:10	20:33:10		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
64	20:33:10	20:33:10	20:33:11	20:33:11	20:33:11	20:33:11	20:33:11	20:33:12	20:33:12	20:33:12	20:33:47	20:33:47	20:33:47	20:33:47	20:33:48	20:33:48	20:33:56	20:33:56		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
65	20:33:56	20:33:56	20:33:56	20:33:56	20:33:56	20:33:56	20:33:56	20:33:58	20:33:58	20:33:58	20:34:32	20:34:32	20:34:32	20:34:32	20:34:32	20:34:32	20:34:40	20:34:40		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
66	20:34:40	20:34:40	20:34:41	20:34:41	20:34:41	20:34:41	20:34:41	20:34:42	20:34:42	20:34:42	20:35:17	20:35:17	20:35:17	20:35:17	20:35:18	20:35:18	20:35:25	20:35:25		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:07	00:00:45
67	20:35:25	20:35:25	20:35:26	20:35:26	20:35:26	20:35:26	20:35:26	20:35:27	20:35:28	20:35:28	20:36:02	20:36:02	20:36:02	20:36:02	20:36:02	20:36:02	20:36:10	20:36:10		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
68	20:36:10	20:36:10	20:36:11	20:36:11	20:36:11	20:36:11	20:36:11	20:36:12	20:36:12	20:36:12	20:36:47	20:36:47	20:36:47	20:36:47	20:36:47	20:36:47	20:36:55	20:36:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
69	20:36:55	20:36:55	20:36:55	20:36:55	20:36:56	20:36:56	20:36:56	20:36:57	20:36:57	20:36:57	20:37:32	20:37:32	20:37:32	20:37:32	20:37:32	20:37:32	20:37:40	20:37:40		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
70	20:37:40	20:37:40	20:37:40	20:37:40	20:37:41	20:37:41	20:37:41	20:37:42	20:37:42	20:37:42	20:38:17	20:38:17	20:38:17	20:38:17	20:38:17	20:38:17	20:38:25	20:38:25		00:00:00	00:00:00	00:00:01	00:00:01	00:00:35	00:00:00	00:00:00	00:00:08	00:00:45
71	20:38:26	20:38:26	20:38:26	20:38:26	20:38:26	20:38:26	20:38:26	20:38:28	20:38:28	20:38:28	20:38:58	20:38:58	20:38:58	20:38:58	20:38:59	20:38:59	20:39:06	20:39:06		00:00:00	00:00:00	00:00:01	00:00:01	00:00:30	00:00:00	00:00:00	00:00:07	00:00:40
72	20:39:06	20:39:06	20:39:06	20:39:06	20:39:06	20:39:06	20:39:06	20:39:08	20:39:08	20:39:08	20:39:35	20:39:35	20:39:35	20:39:35	20:39:35	20:39:35	20:39:43	20:39:43		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:36
73	20:39:43	20:39:43	20:39:43	20:39:43	20:39:43	20:39:43	20:39:43	20:39:45	20:39:45	20:39:45	20:40:12	20:40:12	20:40:12	20:40:12	20:40:12	20:40:12	20:40:20	20:40:20		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:36
74	20:40:20	20:40:20	20:40:20	20:40:20	20:40:20	20:40:20	20:40:20	20:40:22	20:40:22	20:40:22	20:40:50	20:40:50	20:40:50	20:40:50	20:40:50	20:40:50	20:40:57	20:40:57		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:37
75	20:40:57	20:40:57	20:40:58	20:40:58	20:40:58	20:40:58	20:40:58	20:40:59	20:40:59	20:40:59	20:41:27	20:41:27	20:41:27	20:41:27	20:41:27	20:41:27	20:41:34	20:41:34		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:37
76	20:41:34	20:41:34	20:41:35	20:41:35	20:41:35	20:41:35	20:41:35	20:41:36	20:41:36	20:41:36	20:42:04	20:42:04	20:42:04	20:42:04	20:42:05	20:42:05	20:42:12	20:42:12		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:37
77	20:42:12	20:42:12	20:42:12	20:42:12	20:42:12	20:42:12	20:42:12	20:42:14	20:42:14	20:42:14	20:42:42	20:42:42	20:42:42	20:42:42	20:42:42	20:42:42	20:42:49	20:42:49		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:37
78	20:42:49	20:42:49	20:42:50	20:42:50	20:42:50	20:42:50	20:42:50	20:42:51	20:42:51	20:42:51	20:43:19	20:43:19	20:43:19	20:43:19	20:43:20	20:43:20	20:43:27	20:43:27		00:00:00	00:00:00	00:00:01	00:00:01	00:00:28	00:00:00	00:00:00	00:00:07	00:00:37
79	20:43:27	20:43:27	20:43:27	20:43:27	20:43:27	20:43:27	20:43:27	20:43:29	20:43:29	20:43:29	20:43:57	20:43:57	20:43:57	20:43:57	20:43:57	20:43:57	20:44:04	20:44:04		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:07	00:00:37
80	20:44:04	20:44:04	20:44:04	20:44:04	20:44:04	20:44:04	20:44:04	20:44:06	20:44:06	20:44:06	20:44:34	20:44:34	20:44:34	20:44:34	20:44:34	20:44:34	20:44:42	20:44:42		00:00:00	00:00:00	00:00:01	00:00:01	00:00:28	00:00:00	00:00:00	00:00:07	00:00:37
81	20:44:42	20:44:42	20:44:42	20:44:42	20:44:42	20:44:42	20:44:42	20:44:44	20:44:44	20:44:44	20:45:12	20:45:12	20:45:12	20:45:12	20:45:12	20:45:12	20:45:19	20:45:19		00:00:00	00:00:00	00:00:01	00:00:01	00:00:28	00:00:00	00:00:00	00:00:07	00:00:37
