ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
45	-2.5059644183367014	-4.199776026129802	-2.7370898456697774	-1.6920416058367491
46	-2.3508770643285604	-4.085568971624672	-2.6818718642278907	-1.6520569319143845
47	-2.3797095249329585	-4.064331398592156	-2.644338805052357	-1.6204752049910842
48	-2.550760109702521	-4.068141431453847	-2.6662792612397705	-1.675585465090495
49	-2.355365519639858	-4.096657201071432	-2.6435979085965484	-1.6092245874006208
50	-2.569054033233393	-4.166312288634323	-2.6838387777856103	-1.6906472852297652
51	-2.589604822754385	-4.229129796803817	-2.694125862248139	-1.6476179389924905
52	-2.5116101516398013	-4.1945402874608035	-2.6812933475021903	-1.6080013356283427
53	-2.5243280189897086	-4.168320199554488	-2.6928468857236343	-1.664526830942096
54	-2.3672872720614193	-4.093626259565825	-2.659272076178172	-1.640141795365221
55	-2.5233475196035458	-4.210592507810938	-2.6784688805359	-1.669141494045139
56	-2.434053317961905	-4.111247392385483	-2.649666366228928	-1.6109829099146387
57	-2.3939728857334255	-4.024093642689202	-2.6300679629871926	-1.62582077149354
58	-2.5786480289374096	-4.180239242766089	-2.6523287627936805	-1.6155965366179499
59	-2.7132785905752974	-4.145332085257814	-2.672881097334851	-1.680867559423883
60	-2.499226417435825	-4.033550636507325	-2.6518331311600583	-1.6501483289882284
61	-2.5522977824024906	-4.167898624892516	-2.680768453218636	-1.635767096726249
62	-2.5295272249148426	-4.171603558266039	-2.6718109268152834	-1.6524172196984181
63	-2.476350389355403	-4.099620596494716	-2.6540914320660964	-1.632012965336072
64	-2.488926538350129	-4.147316960102113	-2.668886312896161	-1.6555943541599967
65	-2.386389148101614	-4.0304137073355415	-2.6338810669837565	-1.633369844441504
66	-2.476970159533584	-4.082216270870719	-2.639510200041011	-1.6451307620995477
67	-2.364562129529017	-4.0867648346276315	-2.6193426152321893	-1.60218468442278
68	-2.485845117436088	-4.045952085396256	-2.618567941743897	-1.6105900141217149
69	-2.689153199235088	-4.195033320082859	-2.659949103382777	-1.6684324276983566
70	-2.4106808057116513	-3.9858441708232637	-2.6041805201916035	-1.620432706598157
71	-2.620294658344761	-4.086229543821734	-2.6428316800128786	-1.6658911089157253
72	-2.6169430346508364	-4.111406960610315	-2.6579583302724337	-1.6462433181412324
73	-2.424459316803527	-3.964711352543165	-2.6239388748456	-1.6866527085961474
74	-2.4492706187272066	-3.986073999155954	-2.61601534958718	-1.64169772310745
75	-2.5273070589181104	-4.034784772596597	-2.6357248681398313	-1.6371485067155311
76	-2.452702771581997	-4.04024374922262	-2.6504815851575487	-1.6394016572786407
77	-2.5114953690683084	-4.071361525223085	-2.6609580123470664	-1.6684986819218781
78	-2.570611097081977	-4.122002325019467	-2.6644463274523673	-1.6447294017362317
79	-2.3843343483354955	-4.009717733846001	-2.6161096181308894	-1.6358557056293728
80	-2.476438000748307	-4.055897886976995	-2.6060428808785323	-1.60944457326033
81	-2.4208024917826614	-3.927185955295341	-2.590429310290334	-1.6563528595436274
82	-2.61412076452408	-4.050856120589262	-2.6262647285410297	-1.6831288211732836
83	-2.4674744586918083	-4.032581226353289	-2.6006068487344587	-1.6255434423157373
84	-2.6257365608141643	-4.138899575941389	-2.6285242271516225	-1.6255835119968387
85	-2.4154283514181802	-3.9643852673502735	-2.5968284436211926	-1.6024355000863038
86	-2.6503009564105358	-4.1475796833717	-2.6602487287508088	-1.639373033707896
87	-2.4168769767353218	-4.06358224864125	-2.641880655793168	-1.6513581139415219
88	-2.401254112328276	-4.032329939924355	-2.6288009122282525	-1.6055317752512777
89	-2.452311653469239	-3.933466078148499	-2.6350791063829395	-1.656576732264083
90	-2.3420509384851935	-3.972522997926313	-2.6134645447182945	-1.5860057446570204
91	-2.53843451514068	-4.036596771276026	-2.645204007180631	-1.6793917708177575
92	-2.4171255109301555	-3.9761902712083907	-2.609726957830188	-1.643744036582379
93	-2.393061372705938	-3.9331231857276547	-2.5896706963971186	-1.5885864460948078
94	-2.578513180041089	-4.045550128459035	-2.6237313150499526	-1.6709427942179333
95	-2.5403354983511215	-4.041848139151364	-2.619768878422787	-1.636369347987282
96	-2.4079469076342583	-3.920052911827097	-2.5929188134462597	-1.6304296502933573
97	-2.6149809047802695	-4.053446312878584	-2.6443108742711803	-1.6893370521237634
98	-2.5515784756711524	-4.04931102951152	-2.643742710694449	-1.6494589501214911
99	-2.513298622149462	-3.943742023224107	-2.647053816447439	-1.6943517148624196
100	-2.498349099990813	-4.126459675406884	-2.66237544235363	-1.6454315933848656
