personId,planIndex,planElementType,planElementIndex,activityType,activityLocationX,activityLocationY,activityEndTime,legMode
010200-2012000700304-0-6796856,0,activity,4,Home,550745.6667712056,4183733.33916816,-Infinity,
010200-2013001027012-0-6531295,0,activity,0,Home,550690.4729548297,4184475.9910744647,26520.0,
010200-2013001027012-0-6531295,0,leg,1,,,,,
010200-2013001027012-0-6531295,0,activity,2,Work,550132.6757637903,4182700.935844811,61740.0,
010200-2013001027012-0-6531295,0,leg,3,,,,,
010200-2013001027012-0-6531295,0,activity,4,Home,550690.4729548297,4184475.9910744647,-Infinity,
010200-2013001027012-0-6531296,0,activity,0,Home,550690.4729548297,4184475.9910744647,26520.0,
010200-2013001027012-0-6531296,0,leg,1,,,,,
010200-2013001027012-0-6531296,0,activity,2,Work,550132.6757637903,4182700.935844811,61740.0,
010200-2013001027012-0-6531296,0,leg,3,,,,,
010200-2013001027012-0-6531296,0,activity,4,Home,550690.4729548297,4184475.9910744647,-Infinity,
010200-2013001027012-0-6531297,0,activity,0,Home,550690.4729548297,4184475.9910744647,30180.0,
010200-2013001027012-0-6531297,0,leg,1,,,,,
010200-2013001027012-0-6531297,0,activity,2,School,548682.2660499038,4183814.3137744404,51360.0,
010200-2013001027012-0-6531297,0,leg,3,,,,,
010200-2013001027012-0-6531297,0,activity,4,Home,550690.4729548297,4184475.9910744647,57300.0,
010200-2013001027012-0-6531297,0,leg,5,,,,,
010200-2013001027012-0-6531297,0,activity,6,Other,549678.3815317543,4182673.089725412,67320.0,
010200-2013001027012-0-6531297,0,leg,7,,,,,
010200-2013001027012-0-6531297,0,activity,8,Home,550690.4729548297,4184475.9910744647,-Infinity,
010200-2013001407490-0-7050876,0,activity,0,Home,551291.9657693955,4184804.487341364,29760.0,
010200-2013001407490-0-7050876,0,leg,1,,,,,
010200-2013001407490-0-7050876,0,activity,2,Escort,549374.2287250349,4177608.5076036514,32160.0,
010200-2013001407490-0-7050876,0,leg,3,,,,,
010200-2013001407490-0-7050876,0,activity,4,Home,551291.9657693955,4184804.487341364,-Infinity,
010200-2014000809809-0-2848285,0,activity,0,Home,550677.5780069558,4184146.2341234395,34800.0,
010200-2014000809809-0-2848285,0,leg,1,,,,,
010200-2014000809809-0-2848285,0,activity,2,Other,552135.0837112699,4180651.0682172473,70080.0,
010200-2014000809809-0-2848285,0,leg,3,,,,,
010200-2014000809809-0-2848285,0,activity,4,Home,550677.5780069558,4184146.2341234395,-Infinity,
010200-2014000909482-0-1831503,0,activity,0,Home,550933.5341411035,4183764.9066924546,55800.0,
010200-2014000909482-0-1831503,0,leg,1,,,,,
010200-2014000909482-0-1831503,0,activity,2,Shopping,552255.8932041689,4180378.344151952,58740.0,
010200-2014000909482-0-1831503,0,leg,3,,,,,
010200-2014000909482-0-1831503,0,activity,4,Home,550933.5341411035,4183764.9066924546,-Infinity,
010200-2014000909482-0-1831504,0,activity,0,Home,550933.5341411035,4183764.9066924546,25980.0,
010200-2014000909482-0-1831504,0,leg,1,,,,,
010200-2014000909482-0-1831504,0,activity,2,Other,551230.6059158843,4182929.170259392,50640.0,
010200-2014000909482-0-1831504,0,leg,3,,,,,
010200-2014000909482-0-1831504,0,activity,4,Home,550933.5341411035,4183764.9066924546,-Infinity,
010200-2014001327621-0-7815204,0,activity,0,Home,550780.3459152604,4183871.735014328,18240.0,
010200-2014001327621-0-7815204,0,leg,1,,,,,
010200-2014001327621-0-7815204,0,activity,2,Work,552103.3625183858,4181997.447333003,64380.0,
010200-2014001327621-0-7815204,0,leg,3,,,,,
010200-2014001327621-0-7815204,0,activity,4,Home,550780.3459152604,4183871.735014328,64920.0,
010200-2014001327621-0-7815204,0,leg,5,,,,,
010200-2014001327621-0-7815204,0,activity,6,Shopping,553599.0407640652,4182222.026801955,78600.0,
010200-2014001327621-0-7815204,0,leg,7,,,,,
010200-2014001327621-0-7815204,0,activity,8,Home,550780.3459152604,4183871.735014328,84420.0,
010200-2014001327621-0-7815204,0,leg,9,,,,,
010200-2014001327621-0-7815204,0,activity,10,Shopping,552676.896059664,4182908.562554192,85740.0,
010200-2014001327621-0-7815204,0,leg,11,,,,,
010200-2014001327621-0-7815204,0,activity,12,Home,550780.3459152604,4183871.735014328,-Infinity,
010200-2014001327621-0-7815205,0,activity,0,Home,550780.3459152604,4183871.735014328,21780.0,
010200-2014001327621-0-7815205,0,leg,1,,,,,
010200-2014001327621-0-7815205,0,activity,2,Work,551198.5060594957,4182024.63069857,53520.0,
010200-2014001327621-0-7815205,0,leg,3,,,,,
010200-2014001327621-0-7815205,0,activity,4,Home,550780.3459152604,4183871.735014328,-Infinity,
010200-2014001327621-0-7815206,0,activity,0,Home,550780.3459152604,4183871.735014328,18240.0,
010200-2014001327621-0-7815206,0,leg,1,,,,,
010200-2014001327621-0-7815206,0,activity,2,Work,552103.3625183858,4181997.447333003,64380.0,
010200-2014001327621-0-7815206,0,leg,3,,,,,
010200-2014001327621-0-7815206,0,activity,4,Home,550780.3459152604,4183871.735014328,64920.0,
010200-2014001327621-0-7815206,0,leg,5,,,,,
010200-2014001327621-0-7815206,0,activity,6,Shopping,553599.0407640652,4182222.026801955,78600.0,
010200-2014001327621-0-7815206,0,leg,7,,,,,
010200-2014001327621-0-7815206,0,activity,8,Home,550780.3459152604,4183871.735014328,84420.0,
010200-2014001327621-0-7815206,0,leg,9,,,,,
010200-2014001327621-0-7815206,0,activity,10,Shopping,552676.896059664,4182908.562554192,85740.0,
010200-2014001327621-0-7815206,0,leg,11,,,,,
010200-2014001327621-0-7815206,0,activity,12,Home,550780.3459152604,4183871.735014328,-Infinity,
010200-2015000371606-0-7177832,0,activity,0,Home,551130.2960340485,4184682.7295167553,34440.0,
010200-2015000371606-0-7177832,0,leg,1,,,,,
010200-2015000371606-0-7177832,0,activity,2,Shopping,552251.7401971443,4182200.3515556245,44520.0,
010200-2015000371606-0-7177832,0,leg,3,,,,,
010200-2015000371606-0-7177832,0,activity,4,Home,551130.2960340485,4184682.7295167553,-Infinity,
010200-2015000371606-0-7177833,0,activity,0,Home,551130.2960340485,4184682.7295167553,27720.0,
010200-2015000371606-0-7177833,0,leg,1,,,,,
010200-2015000371606-0-7177833,0,activity,2,Other,552582.6495843935,4182680.1544600977,55860.0,
010200-2015000371606-0-7177833,0,leg,3,,,,,
010200-2015000371606-0-7177833,0,activity,4,Home,551130.2960340485,4184682.7295167553,61860.0,
010200-2015000371606-0-7177833,0,leg,5,,,,,
010200-2015000371606-0-7177833,0,activity,6,Social,553223.956307973,4182342.7639438845,64140.0,
010200-2015000371606-0-7177833,0,leg,7,,,,,
010200-2015000371606-0-7177833,0,activity,8,Home,551130.2960340485,4184682.7295167553,-Infinity,
010200-2015000933737-0-54139,0,activity,0,Home,550646.6457987719,4184065.563086237,44160.0,
010200-2015000933737-0-54139,0,leg,1,,,,,
010200-2015000933737-0-54139,0,activity,2,Eatout,551691.0558813545,4182637.8434577864,54360.0,
010200-2015000933737-0-54139,0,leg,3,,,,,
010200-2015000933737-0-54139,0,activity,4,Home,550646.6457987719,4184065.563086237,-Infinity,
010200-2015000933737-0-54140,0,activity,0,Home,550646.6457987719,4184065.563086237,44160.0,
010200-2015000933737-0-54140,0,leg,1,,,,,
010200-2015000933737-0-54140,0,activity,2,Eatout,551691.0558813545,4182637.8434577864,54360.0,
010200-2015000933737-0-54140,0,leg,3,,,,,
010200-2015000933737-0-54140,0,activity,4,Home,550646.6457987719,4184065.563086237,-Infinity,
010200-2015000933737-0-54141,0,activity,0,Home,550646.6457987719,4184065.563086237,48540.0,
010200-2015000933737-0-54141,0,leg,1,,,,,
010200-2015000933737-0-54141,0,activity,2,School,550758.360325037,4181898.6527050426,65940.0,
010200-2015000933737-0-54141,0,leg,3,,,,,
010200-2015000933737-0-54141,0,activity,4,Home,550646.6457987719,4184065.563086237,-Infinity,
010200-2016000706643-1-3866913,0,activity,0,Home,550915.576548963,4184603.907585486,34500.0,
010200-2016000706643-1-3866913,0,leg,1,,,,,
010200-2016000706643-1-3866913,0,activity,2,Shopping,552767.2439266269,4182769.1058820654,80580.0,
010200-2016000706643-1-3866913,0,leg,3,,,,,
010200-2016000706643-1-3866913,0,activity,4,Home,550915.576548963,4184603.907585486,-Infinity,
010400-2012000203588-0-7039277,0,activity,0,Home,551822.1140167135,4184112.914190965,26220.0,
010400-2012000203588-0-7039277,0,leg,1,,,,,
010400-2012000203588-0-7039277,0,activity,2,Work,553458.9916927045,4181713.173405433,57900.0,
010400-2012000203588-0-7039277,0,leg,3,,,,,
010400-2012000203588-0-7039277,0,activity,4,Home,551822.1140167135,4184112.914190965,64680.0,
010400-2012000203588-0-7039277,0,leg,5,,,,,
010400-2012000203588-0-7039277,0,activity,6,Other,550683.6348075654,4181992.7580505,71160.0,
010400-2012000203588-0-7039277,0,leg,7,,,,,
010400-2012000203588-0-7039277,0,activity,8,Home,551822.1140167135,4184112.914190965,-Infinity,
010400-2012000203588-0-7039278,0,activity,0,Home,551822.1140167135,4184112.914190965,27600.0,
010400-2012000203588-0-7039278,0,leg,1,,,,,
010400-2012000203588-0-7039278,0,activity,2,Other,550198.1775199751,4184013.8011830733,73800.0,
010400-2012000203588-0-7039278,0,leg,3,,,,,
010400-2012000203588-0-7039278,0,activity,4,Home,551822.1140167135,4184112.914190965,-Infinity,
010400-2012000203588-0-7039279,0,activity,0,Home,551822.1140167135,4184112.914190965,30540.0,
010400-2012000203588-0-7039279,0,leg,1,,,,,
010400-2012000203588-0-7039279,0,activity,2,Work,549690.2518192291,4183130.922620354,62340.0,
010400-2012000203588-0-7039279,0,leg,3,,,,,
010400-2012000203588-0-7039279,0,activity,4,Home,551822.1140167135,4184112.914190965,66180.0,
010400-2012000203588-0-7039279,0,leg,5,,,,,
010400-2012000203588-0-7039279,0,activity,6,Other,551695.2209190826,4179813.3431134447,68580.0,
010400-2012000203588-0-7039279,0,leg,7,,,,,
010400-2012000203588-0-7039279,0,activity,8,Home,551822.1140167135,4184112.914190965,-Infinity,
010400-2012000203588-0-7039280,0,activity,0,Home,551822.1140167135,4184112.914190965,39240.0,
010400-2012000203588-0-7039280,0,leg,1,,,,,
010400-2012000203588-0-7039280,0,activity,2,Shopping,552518.113770521,4183309.1745187677,42300.0,
010400-2012000203588-0-7039280,0,leg,3,,,,,
010400-2012000203588-0-7039280,0,activity,4,Home,551822.1140167135,4184112.914190965,-Infinity,
010400-2012000203588-0-7039281,0,activity,0,Home,551822.1140167135,4184112.914190965,30540.0,
010400-2012000203588-0-7039281,0,leg,1,,,,,
010400-2012000203588-0-7039281,0,activity,2,Work,549690.2518192291,4183130.922620354,62340.0,
010400-2012000203588-0-7039281,0,leg,3,,,,,
010400-2012000203588-0-7039281,0,activity,4,Home,551822.1140167135,4184112.914190965,66180.0,
010400-2012000203588-0-7039281,0,leg,5,,,,,
010400-2012000203588-0-7039281,0,activity,6,Other,551695.2209190826,4179813.3431134447,68580.0,
010400-2012000203588-0-7039281,0,leg,7,,,,,
010400-2012000203588-0-7039281,0,activity,8,Home,551822.1140167135,4184112.914190965,-Infinity,
010400-2012000546598-0-1958234,0,activity,0,Home,552606.5538002048,4183754.9767278545,30540.0,
010400-2012000546598-0-1958234,0,leg,1,,,,,
010400-2012000546598-0-1958234,0,activity,2,Shopping,550284.3054321175,4180292.7952638874,40440.0,
010400-2012000546598-0-1958234,0,leg,3,,,,,
010400-2012000546598-0-1958234,0,activity,4,Home,552606.5538002048,4183754.9767278545,44520.0,
010400-2012000546598-0-1958234,0,leg,5,,,,,
010400-2012000546598-0-1958234,0,activity,6,Shopping,550796.0065342952,4182699.24932862,76260.0,
010400-2012000546598-0-1958234,0,leg,7,,,,,
010400-2012000546598-0-1958234,0,activity,8,Home,552606.5538002048,4183754.9767278545,-Infinity,
010400-2012001111568-1-1195213,0,activity,0,Home,551954.7073447222,4184176.095506529,39240.0,
010400-2012001111568-1-1195213,0,leg,1,,,,,
010400-2012001111568-1-1195213,0,activity,2,Shopping,552518.113770521,4183309.1745187677,42300.0,
010400-2012001111568-1-1195213,0,leg,3,,,,,
010400-2012001111568-1-1195213,0,activity,4,Home,551954.7073447222,4184176.095506529,-Infinity,
010400-2013000141206-0-6030422,0,activity,0,Home,551910.132009584,4183928.1310564633,67200.0,
010400-2013000141206-0-6030422,0,leg,1,,,,,
010400-2013000141206-0-6030422,0,activity,2,Shopping,550586.622638077,4180542.7709704475,70080.0,
010400-2013000141206-0-6030422,0,leg,3,,,,,
010400-2013000141206-0-6030422,0,activity,4,Home,551910.132009584,4183928.1310564633,-Infinity,
010400-2013000141206-0-6030423,0,activity,0,Home,551910.132009584,4183928.1310564633,28620.0,
010400-2013000141206-0-6030423,0,leg,1,,,,,
010400-2013000141206-0-6030423,0,activity,2,Work,552595.7568338843,4183005.9663579417,60420.0,
010400-2013000141206-0-6030423,0,leg,3,,,,,
010400-2013000141206-0-6030423,0,activity,4,Home,551910.132009584,4183928.1310564633,-Infinity,
010400-2013000210619-0-1067346,0,activity,0,Home,552225.4313322701,4184267.5325490455,31980.0,
010400-2013000210619-0-1067346,0,leg,1,,,,,
010400-2013000210619-0-1067346,0,activity,2,Other,552887.5464010644,4180857.307043367,42120.0,
010400-2013000210619-0-1067346,0,leg,3,,,,,
010400-2013000210619-0-1067346,0,activity,4,Home,552225.4313322701,4184267.5325490455,51240.0,
010400-2013000210619-0-1067346,0,leg,5,,,,,
010400-2013000210619-0-1067346,0,activity,6,Other,552360.1030079178,4179762.6468782974,52800.0,
010400-2013000210619-0-1067346,0,leg,7,,,,,
010400-2013000210619-0-1067346,0,activity,8,Home,552225.4313322701,4184267.5325490455,-Infinity,
010400-2013000210619-0-1067347,0,activity,0,Home,552225.4313322701,4184267.5325490455,50220.0,
010400-2013000210619-0-1067347,0,leg,1,,,,,
010400-2013000210619-0-1067347,0,activity,2,Shopping,551473.2094940145,4182070.397423954,60360.0,
010400-2013000210619-0-1067347,0,leg,3,,,,,
010400-2013000210619-0-1067347,0,activity,4,Home,552225.4313322701,4184267.5325490455,-Infinity,
010400-2013001126970-0-6156982,0,activity,0,Home,552342.4275028531,4183768.232560048,37140.0,
010400-2013001126970-0-6156982,0,leg,1,,,,,
010400-2013001126970-0-6156982,0,activity,2,Shopping,553016.8019794291,4182840.9933230923,43740.0,
010400-2013001126970-0-6156982,0,leg,3,,,,,
010400-2013001126970-0-6156982,0,activity,4,Home,552342.4275028531,4183768.232560048,-Infinity,
010400-2013001126970-0-6156983,0,activity,0,Home,552342.4275028531,4183768.232560048,31560.0,
010400-2013001126970-0-6156983,0,leg,1,,,,,
010400-2013001126970-0-6156983,0,activity,2,Work,552552.0766477925,4184317.761014548,74340.0,
010400-2013001126970-0-6156983,0,leg,3,,,,,
010400-2013001126970-0-6156983,0,activity,4,Home,552342.4275028531,4183768.232560048,-Infinity,
010400-2014001477600-3-940677,0,activity,0,Home,552449.6257058231,4183911.136346972,47100.0,
010400-2014001477600-3-940677,0,leg,1,,,,,
010400-2014001477600-3-940677,0,activity,2,Shopping,552593.3084813383,4182575.3708670503,49800.0,
010400-2014001477600-3-940677,0,leg,3,,,,,
010400-2014001477600-3-940677,0,activity,4,Home,552449.6257058231,4183911.136346972,-Infinity,
010400-2015000035619-0-3093573,0,activity,0,Home,551806.3431157409,4184176.4138508784,39720.0,
010400-2015000035619-0-3093573,0,leg,1,,,,,
010400-2015000035619-0-3093573,0,activity,2,Other,553792.9779770696,4181152.244658796,49860.0,
010400-2015000035619-0-3093573,0,leg,3,,,,,
010400-2015000035619-0-3093573,0,activity,4,Home,551806.3431157409,4184176.4138508784,-Infinity,
010400-2015000035619-0-3093574,0,activity,0,Home,551806.3431157409,4184176.4138508784,39720.0,
010400-2015000035619-0-3093574,0,leg,1,,,,,
010400-2015000035619-0-3093574,0,activity,2,Other,553792.9779770696,4181152.244658796,49860.0,
010400-2015000035619-0-3093574,0,leg,3,,,,,
010400-2015000035619-0-3093574,0,activity,4,Home,551806.3431157409,4184176.4138508784,-Infinity,
010400-2015000635660-0-1449953,0,activity,0,Home,551931.5720298856,4184200.4259913135,28560.0,
010400-2015000635660-0-1449953,0,leg,1,,,,,
010400-2015000635660-0-1449953,0,activity,2,Escort,552752.0993433296,4182369.157791048,67500.0,
010400-2015000635660-0-1449953,0,leg,3,,,,,
010400-2015000635660-0-1449953,0,activity,4,Home,551931.5720298856,4184200.4259913135,-Infinity,
010400-2015000635660-0-1449954,0,activity,0,Home,551931.5720298856,4184200.4259913135,31680.0,
010400-2015000635660-0-1449954,0,leg,1,,,,,
010400-2015000635660-0-1449954,0,activity,2,Work,545882.6782669268,4174978.4255876336,62760.0,
010400-2015000635660-0-1449954,0,leg,3,,,,,
010400-2015000635660-0-1449954,0,activity,4,Home,551931.5720298856,4184200.4259913135,-Infinity,
010400-2015000939365-0-2848594,0,activity,0,Home,552059.0145637204,4184004.5482595274,50940.0,
010400-2015000939365-0-2848594,0,leg,1,,,,,
010400-2015000939365-0-2848594,0,activity,2,Escort,551129.80541517,4181061.0982578536,53340.0,
010400-2015000939365-0-2848594,0,leg,3,,,,,
010400-2015000939365-0-2848594,0,activity,4,Home,552059.0145637204,4184004.5482595274,-Infinity,
010400-2015000939365-0-2848595,0,activity,0,Home,552059.0145637204,4184004.5482595274,35040.0,
010400-2015000939365-0-2848595,0,leg,1,,,,,
010400-2015000939365-0-2848595,0,activity,2,Other,549408.432658413,4181945.486138,41400.0,
010400-2015000939365-0-2848595,0,leg,3,,,,,
010400-2015000939365-0-2848595,0,activity,4,Home,552059.0145637204,4184004.5482595274,46740.0,
010400-2015000939365-0-2848595,0,leg,5,,,,,
010400-2015000939365-0-2848595,0,activity,6,Work,553161.291905758,4182088.9951896034,82140.0,
010400-2015000939365-0-2848595,0,leg,7,,,,,
010400-2015000939365-0-2848595,0,activity,8,Home,552059.0145637204,4184004.5482595274,-Infinity,
010400-2016000821780-0-1313029,0,activity,0,Home,551815.48262091,4184017.5017502923,41700.0,
010400-2016000821780-0-1313029,0,leg,1,,,,,
010400-2016000821780-0-1313029,0,activity,2,Other,552853.8010513892,4182888.642936756,77100.0,
010400-2016000821780-0-1313029,0,leg,3,,,,,
010400-2016000821780-0-1313029,0,activity,4,Home,551815.48262091,4184017.5017502923,-Infinity,
010400-2016000821780-0-1313030,0,activity,0,Home,551815.48262091,4184017.5017502923,30420.0,
010400-2016000821780-0-1313030,0,leg,1,,,,,
010400-2016000821780-0-1313030,0,activity,2,Eatout,551261.1179985291,4184279.9922312154,65940.0,
010400-2016000821780-0-1313030,0,leg,3,,,,,
010400-2016000821780-0-1313030,0,activity,4,Home,551815.48262091,4184017.5017502923,-Infinity,
010400-2016000821780-0-1313031,0,activity,0,Home,551815.48262091,4184017.5017502923,27540.0,
010400-2016000821780-0-1313031,0,leg,1,,,,,
010400-2016000821780-0-1313031,0,activity,2,Escort,552498.0110902265,4177181.1336504538,30300.0,
010400-2016000821780-0-1313031,0,leg,3,,,,,
010400-2016000821780-0-1313031,0,activity,4,Home,551815.48262091,4184017.5017502923,45360.0,
010400-2016000821780-0-1313031,0,leg,5,,,,,
010400-2016000821780-0-1313031,0,activity,6,Escort,553424.9182875833,4182587.504794504,48360.0,
010400-2016000821780-0-1313031,0,leg,7,,,,,
010400-2016000821780-0-1313031,0,activity,8,Home,551815.48262091,4184017.5017502923,62160.0,
010400-2016000821780-0-1313031,0,leg,9,,,,,
010400-2016000821780-0-1313031,0,activity,10,Other,550798.8855603358,4183135.1876859465,64380.0,
010400-2016000821780-0-1313031,0,leg,11,,,,,
010400-2016000821780-0-1313031,0,activity,12,Home,551815.48262091,4184017.5017502923,-Infinity,
010400-2016001011747-0-7295482,0,activity,0,Home,552469.2594050115,4183967.5764754713,31440.0,
010400-2016001011747-0-7295482,0,leg,1,,,,,
010400-2016001011747-0-7295482,0,activity,2,Work,552722.330035256,4182835.6347313398,56040.0,
010400-2016001011747-0-7295482,0,leg,3,,,,,
010400-2016001011747-0-7295482,0,activity,4,Home,552469.2594050115,4183967.5764754713,60300.0,
010400-2016001011747-0-7295482,0,leg,5,,,,,
010400-2016001011747-0-7295482,0,activity,6,Work,552570.1913673235,4182994.3414769545,74100.0,
010400-2016001011747-0-7295482,0,leg,7,,,,,
010400-2016001011747-0-7295482,0,activity,8,Home,552469.2594050115,4183967.5764754713,-Infinity,
010400-2016001011747-0-7295483,0,activity,0,Home,552469.2594050115,4183967.5764754713,31440.0,
010400-2016001011747-0-7295483,0,leg,1,,,,,
010400-2016001011747-0-7295483,0,activity,2,Work,552722.330035256,4182835.6347313398,56040.0,
010400-2016001011747-0-7295483,0,leg,3,,,,,
010400-2016001011747-0-7295483,0,activity,4,Home,552469.2594050115,4183967.5764754713,60300.0,
010400-2016001011747-0-7295483,0,leg,5,,,,,
010400-2016001011747-0-7295483,0,activity,6,Work,552570.1913673235,4182994.3414769545,74100.0,
010400-2016001011747-0-7295483,0,leg,7,,,,,
010400-2016001011747-0-7295483,0,activity,8,Home,552469.2594050115,4183967.5764754713,-Infinity,
010500-2012000138732-0-4109941,0,activity,0,Home,553130.4687448118,4183579.1954278573,41640.0,
010500-2012000138732-0-4109941,0,leg,1,,,,,
010500-2012000138732-0-4109941,0,activity,2,Other,546441.611523927,4182145.5419009347,51540.0,
