vehicleId,vehicleTypeId,householdId
35-1,Car,022702-2013001174005-0
35-2,Car,022702-2013001174005-0
36-0,Car,010900-2012001140018-0
36-1,Car,010900-2012001140018-0
36-2,Car,010900-2012001140018-0
37-0,Car,016400-2016001345781-0
37-1,Car,016400-2016001345781-0
37-2,Car,016400-2016001345781-0
38-0,Car,031201-2016001275552-0
38-1,Car,031201-2016001275552-0
38-2,Car,031201-2016001275552-0
38-3,Car,031201-2016001275552-0
39-0,Car,026402-2015000950980-0
39-1,Car,026402-2015000950980-0
39-2,Car,026402-2015000950980-0
40-0,Car,016801-2016001409190-0
40-1,Car,016801-2016001409190-0
41-0,Car,042601-2013000611431-0
41-1,Car,042601-2013000611431-0
41-2,Car,042601-2013000611431-0
41-3,Car,042601-2013000611431-0
42-0,Car,030202-2014000639823-0
42-1,Car,030202-2014000639823-0
42-2,Car,030202-2014000639823-0
43-0,Car,023103-2014000408809-0
43-1,Car,023103-2014000408809-0
44-0,Car,021600-2016001018413-0
44-1,Car,021600-2016001018413-0
45-0,Car,031302-2014001135852-0
45-1,Car,031302-2014001135852-0
45-2,Car,031302-2014001135852-0
45-3,Car,031302-2014001135852-0
46-0,Car,035400-2015000777810-0
46-1,Car,035400-2015000777810-0
46-2,Car,035400-2015000777810-0
47-0,Car,017101-2013000767409-0
47-1,Car,017101-2013000767409-0
48-0,Car,020200-2016000071368-0
48-1,Car,020200-2016000071368-0
48-2,Car,020200-2016000071368-0
48-3,Car,020200-2016000071368-0
48-4,Car,020200-2016000071368-0
49-0,Car,013102-2012000088760-0
49-1,Car,013102-2012000088760-0
50-0,Car,032700-2013000255010-0
50-1,Car,032700-2013000255010-0
50-2,Car,032700-2013000255010-0
50-3,Car,032700-2013000255010-0
51-0,Car,025600-2013000213997-0
51-1,Car,025600-2013000213997-0
51-2,Car,025600-2013000213997-0
51-3,Car,025600-2013000213997-0
52-0,Car,033000-2012001101876-1
52-1,Car,033000-2012001101876-1
52-2,Car,033000-2012001101876-1
52-3,Car,033000-2012001101876-1
52-4,Car,033000-2012001101876-1
53-0,Car,012202-2014001317122-0
53-1,Car,012202-2014001317122-0
53-2,Car,012202-2014001317122-0
53-3,Car,012202-2014001317122-0
54-0,Car,025702-2015000866130-0
54-1,Car,025702-2015000866130-0
54-2,Car,025702-2015000866130-0
54-3,Car,025702-2015000866130-0
55-0,Car,021800-2012001178100-1
55-1,Car,021800-2012001178100-1
55-2,Car,021800-2012001178100-1
55-3,Car,021800-2012001178100-1
55-4,Car,021800-2012001178100-1
56-0,Car,045100-2015001319835-0
56-1,Car,045100-2015001319835-0
56-2,Car,045100-2015001319835-0
56-3,Car,045100-2015001319835-0
56-4,Car,045100-2015001319835-0
57-0,Car,033000-2014000025730-0
57-1,Car,033000-2014000025730-0
57-2,Car,033000-2014000025730-0
57-3,Car,033000-2014000025730-0
57-4,Car,033000-2014000025730-0
58-0,Car,012700-2013001173617-0
58-1,Car,012700-2013001173617-0
58-2,Car,012700-2013001173617-0
59-0,Car,017601-2016001314748-1
59-1,Car,017601-2016001314748-1
59-2,Car,017601-2016001314748-1
60-0,Car,016000-2016001255287-0
60-1,Car,016000-2016001255287-0
60-2,Car,016000-2016001255287-0
60-3,Car,016000-2016001255287-0
60-4,Car,016000-2016001255287-0
61-0,Car,012000-2016001041982-3
61-1,Car,012000-2016001041982-3
62-0,Car,010400-2012001111568-1
62-1,Car,010400-2012001111568-1
63-0,Car,030302-2012001160042-0
63-1,Car,030302-2012001160042-0
63-2,Car,030302-2012001160042-0
64-0,Car,047702-2014000788620-0
64-1,Car,047702-2014000788620-0
65-0,Car,026100-2015000176781-0
65-1,Car,026100-2015000176781-0
66-0,Car,016100-2013000299037-0
66-1,Car,016100-2013000299037-0
67-0,Car,020300-2012000254343-0
67-1,Car,020300-2012000254343-0
68-0,Car,035300-2012001378514-0
68-1,Car,035300-2012001378514-0
68-2,Car,035300-2012001378514-0
68-3,Car,035300-2012001378514-0
68-4,Car,035300-2012001378514-0
69-0,Car,022903-2015001470545-0
69-1,Car,022903-2015001470545-0
69-2,Car,022903-2015001470545-0
69-3,Car,022903-2015001470545-0
69-4,Car,022903-2015001470545-0
70-0,Car,010900-2012000768576-0
70-1,Car,010900-2012000768576-0
70-2,Car,010900-2012000768576-0
71-0,Car,020800-2016000935099-1
71-1,Car,020800-2016000935099-1
72-0,Car,015700-2013000432658-0
72-1,Car,015700-2013000432658-0
73-0,Car,026301-2014001060732-2
73-1,Car,026301-2014001060732-2
73-2,Car,026301-2014001060732-2
74-0,Car,032602-2014000094508-0
74-1,Car,032602-2014000094508-0
74-2,Car,032602-2014000094508-0
75-0,Car,025300-2016000293257-0
75-1,Car,025300-2016000293257-0
76-0,Car,013400-2012000349614-2
76-1,Car,013400-2012000349614-2
77-0,Car,047701-2015000283136-1
77-1,Car,047701-2015000283136-1
78-0,Car,061400-2015001282334-1
78-1,Car,061400-2015001282334-1
78-2,Car,061400-2015001282334-1
79-0,Car,030700-2012000079366-0
79-1,Car,030700-2012000079366-0
80-0,Car,020900-2014001008328-0
80-1,Car,020900-2014001008328-0
80-2,Car,020900-2014001008328-0
80-3,Car,020900-2014001008328-0
81-0,Car,021600-2015000197744-0
81-1,Car,021600-2015000197744-0
81-2,Car,021600-2015000197744-0
81-3,Car,021600-2015000197744-0
82-0,Car,025403-2014000405130-0
82-1,Car,025403-2014000405130-0
82-2,Car,025403-2014000405130-0
82-3,Car,025403-2014000405130-0
82-4,Car,025403-2014000405130-0
83-0,Car,031400-2014000788156-0
83-1,Car,031400-2014000788156-0
83-2,Car,031400-2014000788156-0
83-3,Car,031400-2014000788156-0
83-4,Car,031400-2014000788156-0
84-0,Car,021500-2015001455603-1
84-1,Car,021500-2015001455603-1
84-2,Car,021500-2015001455603-1
84-3,Car,021500-2015001455603-1
84-4,Car,021500-2015001455603-1
85-0,Car,033100-2016000792194-0
85-1,Car,033100-2016000792194-0
85-2,Car,033100-2016000792194-0
85-3,Car,033100-2016000792194-0
86-0,Car,013300-2013000240624-0
86-1,Car,013300-2013000240624-0
86-2,Car,013300-2013000240624-0
87-0,Car,030700-2016000221287-0
87-1,Car,030700-2016000221287-0
87-2,Car,030700-2016000221287-0
87-3,Car,030700-2016000221287-0
87-4,Car,030700-2016000221287-0
88-0,Car,012301-2015000488247-0
88-1,Car,012301-2015000488247-0
88-2,Car,012301-2015000488247-0
89-0,Car,030201-2015000502336-0
89-1,Car,030201-2015000502336-0
89-2,Car,030201-2015000502336-0
89-3,Car,030201-2015000502336-0
90-0,Car,031302-2014000996485-0
90-1,Car,031302-2014000996485-0
90-2,Car,031302-2014000996485-0
91-0,Car,016700-2013000625848-0
91-1,Car,016700-2013000625848-0
91-2,Car,016700-2013000625848-0
92-0,Car,017601-2012000405878-0
92-1,Car,017601-2012000405878-0
92-2,Car,017601-2012000405878-0
93-0,Car,010900-2016000805028-0
93-1,Car,010900-2016000805028-0
93-2,Car,010900-2016000805028-0
93-3,Car,010900-2016000805028-0
94-0,Car,015700-2013001443049-0
94-1,Car,015700-2013001443049-0
94-2,Car,015700-2013001443049-0
94-3,Car,015700-2013001443049-0
94-4,Car,015700-2013001443049-0
95-0,Car,021800-2015000742202-0
95-1,Car,021800-2015000742202-0
95-2,Car,021800-2015000742202-0
95-3,Car,021800-2015000742202-0
95-4,Car,021800-2015000742202-0
96-0,Car,032802-2015000355182-0
96-1,Car,032802-2015000355182-0
97-0,Car,033000-2015001265097-0
97-1,Car,033000-2015001265097-0
97-2,Car,033000-2015001265097-0
98-0,Car,060700-2014000005294-0
98-1,Car,060700-2014000005294-0
98-2,Car,060700-2014000005294-0
98-3,Car,060700-2014000005294-0
99-0,Car,035400-2014000660131-0
99-1,Car,035400-2014000660131-0
99-2,Car,035400-2014000660131-0
100-0,Car,016300-2012000576020-0
100-1,Car,016300-2012000576020-0
100-2,Car,016300-2012000576020-0
100-3,Car,016300-2012000576020-0
101-0,Car,016801-2015000213706-0
101-1,Car,016801-2015000213706-0
101-2,Car,016801-2015000213706-0
101-3,Car,016801-2015000213706-0
101-4,Car,016801-2015000213706-0
102-0,Car,017601-2014000027259-0
102-1,Car,017601-2014000027259-0
103-0,Car,010200-2014000909482-0
103-1,Car,010200-2014000909482-0
103-2,Car,010200-2014000909482-0
104-0,Car,035100-2014000315414-0
104-1,Car,035100-2014000315414-0
104-2,Car,035100-2014000315414-0
104-3,Car,035100-2014000315414-0
104-4,Car,035100-2014000315414-0
105-0,Car,031302-2013000818418-0
105-1,Car,031302-2013000818418-0
105-2,Car,031302-2013000818418-0
106-0,Car,010800-2016001385884-0
106-1,Car,010800-2016001385884-0
106-2,Car,010800-2016001385884-0
107-0,Car,021200-2014000896410-1
107-1,Car,021200-2014000896410-1
108-0,Car,013102-2013000343063-0
108-1,Car,013102-2013000343063-0
109-0,Car,010600-2015000598330-0
109-1,Car,010600-2015000598330-0
110-0,Car,042601-2012000726013-0
110-1,Car,042601-2012000726013-0
110-2,Car,042601-2012000726013-0
111-0,Car,035100-2012000390561-0
111-1,Car,035100-2012000390561-0
111-2,Car,035100-2012000390561-0
111-3,Car,035100-2012000390561-0
112-0,Car,035100-2015000185832-2
112-1,Car,035100-2015000185832-2
112-2,Car,035100-2015000185832-2
112-3,Car,035100-2015000185832-2
112-4,Car,035100-2015000185832-2
113-0,Car,032901-2015001358920-0
113-1,Car,032901-2015001358920-0
113-2,Car,032901-2015001358920-0
114-0,Car,600600-2012001449901-0
114-1,Car,600600-2012001449901-0
114-2,Car,600600-2012001449901-0
115-0,Car,016400-2016000237898-0
115-1,Car,016400-2016000237898-0
115-2,Car,016400-2016000237898-0
115-3,Car,016400-2016000237898-0
116-0,Car,015700-2014001212701-1
116-1,Car,015700-2014001212701-1
116-2,Car,015700-2014001212701-1
116-3,Car,015700-2014001212701-1
117-0,Car,020700-2014001294560-0
117-1,Car,020700-2014001294560-0
117-2,Car,020700-2014001294560-0
117-3,Car,020700-2014001294560-0
118-0,Car,047902-2016001447354-0
118-1,Car,047902-2016001447354-0
119-0,Car,017000-2014000310991-0
119-1,Car,017000-2014000310991-0
119-2,Car,017000-2014000310991-0
120-0,Car,033204-2013001005226-0
120-1,Car,033204-2013001005226-0
120-2,Car,033204-2013001005226-0
120-3,Car,033204-2013001005226-0
120-4,Car,033204-2013001005226-0
121-0,Car,010400-2014001477600-3
121-1,Car,010400-2014001477600-3
122-0,Car,047600-2014000038346-0
122-1,Car,047600-2014000038346-0
122-2,Car,047600-2014000038346-0
122-3,Car,047600-2014000038346-0
123-0,Car,060700-2014000542215-1
123-1,Car,060700-2014000542215-1
124-0,Car,021300-2012000618474-0
124-1,Car,021300-2012000618474-0
124-2,Car,021300-2012000618474-0
125-0,Car,047802-2015000658288-0
125-1,Car,047802-2015000658288-0
125-2,Car,047802-2015000658288-0
126-0,Car,020300-2012001373007-0
126-1,Car,020300-2012001373007-0
127-0,Car,012301-2012001424584-0
127-1,Car,012301-2012001424584-0
127-2,Car,012301-2012001424584-0
127-3,Car,012301-2012001424584-0
128-0,Car,035201-2014000847839-0
128-1,Car,035201-2014000847839-0
128-2,Car,035201-2014000847839-0
129-0,Car,016400-2015001364898-0
129-1,Car,016400-2015001364898-0
129-2,Car,016400-2015001364898-0
129-3,Car,016400-2015001364898-0
130-0,Car,010400-2015000635660-0
130-1,Car,010400-2015000635660-0
130-2,Car,010400-2015000635660-0
131-0,Car,016400-2014000107126-0
131-1,Car,016400-2014000107126-0
131-2,Car,016400-2014000107126-0
132-0,Car,025900-2013001087427-0
132-1,Car,025900-2013001087427-0
133-0,Car,013102-2015000557669-0
133-1,Car,013102-2015000557669-0
134-0,Car,022903-2014000691728-0
134-1,Car,022903-2014000691728-0
134-2,Car,022903-2014000691728-0
135-0,Car,021800-2013000077130-0
135-1,Car,021800-2013000077130-0
135-2,Car,021800-2013000077130-0
135-3,Car,021800-2013000077130-0
135-4,Car,021800-2013000077130-0
136-0,Car,016100-2012000437445-0
136-1,Car,016100-2012000437445-0
136-2,Car,016100-2012000437445-0
136-3,Car,016100-2012000437445-0
136-4,Car,016100-2012000437445-0
137-0,Car,013000-2013000980929-0
137-1,Car,013000-2013000980929-0
138-0,Car,030800-2016001364106-0
138-1,Car,030800-2016001364106-0
138-2,Car,030800-2016001364106-0
138-3,Car,030800-2016001364106-0
139-0,Car,047801-2013001201643-0
139-1,Car,047801-2013001201643-0
140-0,Car,017802-2015001103130-0
140-1,Car,017802-2015001103130-0
141-0,Car,020100-2012000028777-1
141-1,Car,020100-2012000028777-1
141-2,Car,020100-2012000028777-1
141-3,Car,020100-2012000028777-1
142-0,Car,030202-2012000294274-0
142-1,Car,030202-2012000294274-0
142-2,Car,030202-2012000294274-0
142-3,Car,030202-2012000294274-0
142-4,Car,030202-2012000294274-0
143-0,Car,016000-2012000503933-0
143-1,Car,016000-2012000503933-0
143-2,Car,016000-2012000503933-0
144-0,Car,021500-2013001033977-0
144-1,Car,021500-2013001033977-0
144-2,Car,021500-2013001033977-0
144-3,Car,021500-2013001033977-0
144-4,Car,021500-2013001033977-0
145-0,Car,010600-2016000103186-0
145-1,Car,010600-2016000103186-0
145-2,Car,010600-2016000103186-0
146-0,Car,035300-2013000800750-0
146-1,Car,035300-2013000800750-0
146-2,Car,035300-2013000800750-0
146-3,Car,035300-2013000800750-0
146-4,Car,035300-2013000800750-0
147-0,Car,045200-2016000926749-0
147-1,Car,045200-2016000926749-0
148-0,Car,060700-2014000220927-0
148-1,Car,060700-2014000220927-0
149-0,Car,035400-2015000355182-0
149-1,Car,035400-2015000355182-0
150-0,Car,035100-2016000185194-0
150-1,Car,035100-2016000185194-0
150-2,Car,035100-2016000185194-0
151-0,Car,012202-2016001049565-0
151-1,Car,012202-2016001049565-0
152-0,Car,030202-2016000025297-0
152-1,Car,030202-2016000025297-0
152-2,Car,030202-2016000025297-0
152-3,Car,030202-2016000025297-0
153-0,Car,012602-2014001016459-0
153-1,Car,012602-2014001016459-0
154-0,Car,031302-2016000204353-0
154-1,Car,031302-2016000204353-0
155-0,Car,016200-2013000629950-0
155-1,Car,016200-2013000629950-0
155-2,Car,016200-2013000629950-0
156-0,Car,025402-2016000097817-0
156-1,Car,025402-2016000097817-0
156-2,Car,025402-2016000097817-0
157-0,Car,013101-2014001499292-0
157-1,Car,013101-2014001499292-0
157-2,Car,013101-2014001499292-0
157-3,Car,013101-2014001499292-0
157-4,Car,013101-2014001499292-0
158-0,Car,061400-2013001270771-1
158-1,Car,061400-2013001270771-1
158-2,Car,061400-2013001270771-1
158-3,Car,061400-2013001270771-1
159-0,Car,032801-2016001006825-0
159-1,Car,032801-2016001006825-0
159-2,Car,032801-2016001006825-0
160-0,Car,025100-2012000275249-0
160-1,Car,025100-2012000275249-0
161-0,Car,020300-2015000105861-0
161-1,Car,020300-2015000105861-0
161-2,Car,020300-2015000105861-0
162-0,Car,042602-2012000478352-0
162-1,Car,042602-2012000478352-0
162-2,Car,042602-2012000478352-0
163-0,Car,025701-2016000596503-0
163-1,Car,025701-2016000596503-0
163-2,Car,025701-2016000596503-0
164-0,Car,016300-2014001297346-0
164-1,Car,016300-2014001297346-0
164-2,Car,016300-2014001297346-0
165-0,Car,012100-2016000719449-0
165-1,Car,012100-2016000719449-0
166-0,Car,600200-2015000929834-0
166-1,Car,600200-2015000929834-0
166-2,Car,600200-2015000929834-0
166-3,Car,600200-2015000929834-0
166-4,Car,600200-2015000929834-0
167-0,Car,013400-2012000506009-2
167-1,Car,013400-2012000506009-2
167-2,Car,013400-2012000506009-2
167-3,Car,013400-2012000506009-2
168-0,Car,030202-2013001137202-0
168-1,Car,030202-2013001137202-0
169-0,Car,032700-2016001305358-0
169-1,Car,032700-2016001305358-0
170-0,Car,012901-2016001446789-0
170-1,Car,012901-2016001446789-0
170-2,Car,012901-2016001446789-0
171-0,Car,025401-2012001153799-0
171-1,Car,025401-2012001153799-0
171-2,Car,025401-2012001153799-0
171-3,Car,025401-2012001153799-0
172-0,Car,030800-2016000227368-1
172-1,Car,030800-2016000227368-1
172-2,Car,030800-2016000227368-1
172-3,Car,030800-2016000227368-1
172-4,Car,030800-2016000227368-1
173-0,Car,031302-2012000358469-0
173-1,Car,031302-2012000358469-0
174-0,Car,030202-2016000076919-0
174-1,Car,030202-2016000076919-0
174-2,Car,030202-2016000076919-0
174-3,Car,030202-2016000076919-0
175-0,Car,017102-2016000053183-0
175-1,Car,017102-2016000053183-0
176-0,Car,013500-2015000443201-0
176-1,Car,013500-2015000443201-0
176-2,Car,013500-2015000443201-0
176-3,Car,013500-2015000443201-0
177-0,Car,010800-2014000742242-0
177-1,Car,010800-2014000742242-0
178-0,Car,017802-2014000839166-0
178-1,Car,017802-2014000839166-0
178-2,Car,017802-2014000839166-0
179-0,Car,020600-2015000596876-0
179-1,Car,020600-2015000596876-0
179-2,Car,020600-2015000596876-0
180-0,Car,022702-2013000402305-0
180-1,Car,022702-2013000402305-0
181-0,Car,023003-2012000121328-0
181-1,Car,023003-2012000121328-0
181-2,Car,023003-2012000121328-0
181-3,Car,023003-2012000121328-0
182-0,Car,042800-2016000854485-0
182-1,Car,042800-2016000854485-0
182-2,Car,042800-2016000854485-0
183-0,Car,012501-2013001183738-0
183-1,Car,012501-2013001183738-0
183-2,Car,012501-2013001183738-0
183-3,Car,012501-2013001183738-0
184-0,Car,022901-2015000835056-0
184-1,Car,022901-2015000835056-0
185-0,Car,032602-2015001118156-0
185-1,Car,032602-2015001118156-0
185-2,Car,032602-2015001118156-0
186-0,Car,025402-2014000492634-0
186-1,Car,025402-2014000492634-0
186-2,Car,025402-2014000492634-0
187-0,Car,032902-2012000208696-0
187-1,Car,032902-2012000208696-0
187-2,Car,032902-2012000208696-0
188-0,Car,033204-2012000973077-0
188-1,Car,033204-2012000973077-0
188-2,Car,033204-2012000973077-0
189-0,Car,030700-2013000784517-0
189-1,Car,030700-2013000784517-0
189-2,Car,030700-2013000784517-0
189-3,Car,030700-2013000784517-0
190-0,Car,025402-2013000712809-0
190-1,Car,025402-2013000712809-0
190-2,Car,025402-2013000712809-0
190-3,Car,025402-2013000712809-0
190-4,Car,025402-2013000712809-0
191-0,Car,022600-2015000138415-0
191-1,Car,022600-2015000138415-0
191-2,Car,022600-2015000138415-0
192-0,Car,010600-2013000040063-0
192-1,Car,010600-2013000040063-0
192-2,Car,010600-2013000040063-0
193-0,Car,600401-2015001118560-0
193-1,Car,600401-2015001118560-0
194-0,Car,010500-2015000121225-0
194-1,Car,010500-2015000121225-0
195-0,Car,017000-2014001105619-0
195-1,Car,017000-2014001105619-0
196-0,Car,026100-2012000066457-0
196-1,Car,026100-2012000066457-0
197-0,Car,047802-2016000763052-0
197-1,Car,047802-2016000763052-0
198-0,Car,015900-2014000226919-0
198-1,Car,015900-2014000226919-0
198-2,Car,015900-2014000226919-0
198-3,Car,015900-2014000226919-0
198-4,Car,015900-2014000226919-0
199-0,Car,030102-2014000737619-0
199-1,Car,030102-2014000737619-0
199-2,Car,030102-2014000737619-0
199-3,Car,030102-2014000737619-0
199-4,Car,030102-2014000737619-0
200-0,Car,010100-2013001163188-0
200-1,Car,010100-2013001163188-0
201-0,Car,035300-2015001202094-1
201-1,Car,035300-2015001202094-1
202-0,Car,047802-2016000976430-0
202-1,Car,047802-2016000976430-0
203-0,Car,016300-2016000202136-0
203-1,Car,016300-2016000202136-0
203-2,Car,016300-2016000202136-0
203-3,Car,016300-2016000202136-0
204-0,Car,020200-2013000318971-0
204-1,Car,020200-2013000318971-0
204-2,Car,020200-2013000318971-0
205-0,Car,016900-2015001293998-0
205-1,Car,016900-2015001293998-0
205-2,Car,016900-2015001293998-0
206-0,Car,012201-2016000799995-0
206-1,Car,012201-2016000799995-0
206-2,Car,012201-2016000799995-0
207-0,Car,022802-2012001386215-0
207-1,Car,022802-2012001386215-0
207-2,Car,022802-2012001386215-0
208-0,Car,033204-2015000312571-0
208-1,Car,033204-2015000312571-0
208-2,Car,033204-2015000312571-0
208-3,Car,033204-2015000312571-0
208-4,Car,033204-2015000312571-0
209-0,Car,031400-2016000027951-1
209-1,Car,031400-2016000027951-1
209-2,Car,031400-2016000027951-1
210-0,Car,012501-2016000706115-0
210-1,Car,012501-2016000706115-0
210-2,Car,012501-2016000706115-0
210-3,Car,012501-2016000706115-0
210-4,Car,012501-2016000706115-0
211-0,Car,011100-2015001111372-0
211-1,Car,011100-2015001111372-0
211-2,Car,011100-2015001111372-0
212-0,Car,035300-2016000883913-0
212-1,Car,035300-2016000883913-0
212-2,Car,035300-2016000883913-0
212-3,Car,035300-2016000883913-0
213-0,Car,033000-2014000885580-0
213-1,Car,033000-2014000885580-0
213-2,Car,033000-2014000885580-0
214-0,Car,012000-2012001332565-0
214-1,Car,012000-2012001332565-0
214-2,Car,012000-2012001332565-0
214-3,Car,012000-2012001332565-0
214-4,Car,012000-2012001332565-0
215-0,Car,022903-2016000105103-0
215-1,Car,022903-2016000105103-0
215-2,Car,022903-2016000105103-0
216-0,Car,026200-2016000932981-0
216-1,Car,026200-2016000932981-0
216-2,Car,026200-2016000932981-0
216-3,Car,026200-2016000932981-0
216-4,Car,026200-2016000932981-0
217-0,Car,035400-2015000350730-0
217-1,Car,035400-2015000350730-0
217-2,Car,035400-2015000350730-0
217-3,Car,035400-2015000350730-0
218-0,Car,026302-2012000031464-0
218-1,Car,026302-2012000031464-0
218-2,Car,026302-2012000031464-0
219-0,Car,033000-2014000265406-3
219-1,Car,033000-2014000265406-3
219-2,Car,033000-2014000265406-3
219-3,Car,033000-2014000265406-3
220-0,Car,026401-2014000056046-0
220-1,Car,026401-2014000056046-0
220-2,Car,026401-2014000056046-0
220-3,Car,026401-2014000056046-0
220-4,Car,026401-2014000056046-0
221-0,Car,026001-2013001098042-0
221-1,Car,026001-2013001098042-0
222-0,Car,017000-2013001124342-0
222-1,Car,017000-2013001124342-0
222-2,Car,017000-2013001124342-0
223-0,Car,021600-2014000354590-0
223-1,Car,021600-2014000354590-0
223-2,Car,021600-2014000354590-0
224-0,Car,016600-2013000239445-0
224-1,Car,016600-2013000239445-0
224-2,Car,016600-2013000239445-0
224-3,Car,016600-2013000239445-0
225-0,Car,026404-2013000504012-0
225-1,Car,026404-2013000504012-0
225-2,Car,026404-2013000504012-0
225-3,Car,026404-2013000504012-0
226-0,Car,017601-2016000010048-2
226-1,Car,017601-2016000010048-2
227-0,Car,021500-2012000035208-0
227-1,Car,021500-2012000035208-0
228-0,Car,022801-2016000262460-0
228-1,Car,022801-2016000262460-0
228-2,Car,022801-2016000262460-0
229-0,Car,017101-2015001226391-0
229-1,Car,017101-2015001226391-0
230-0,Car,025701-2016000056682-0
230-1,Car,025701-2016000056682-0
230-2,Car,025701-2016000056682-0
231-0,Car,023003-2013000382737-0
231-1,Car,023003-2013000382737-0
231-2,Car,023003-2013000382737-0
231-3,Car,023003-2013000382737-0
231-4,Car,023003-2013000382737-0
232-0,Car,035201-2015001379985-0
232-1,Car,035201-2015001379985-0
232-2,Car,035201-2015001379985-0
233-0,Car,026303-2013000882280-0
233-1,Car,026303-2013000882280-0
233-2,Car,026303-2013000882280-0
233-3,Car,026303-2013000882280-0
233-4,Car,026303-2013000882280-0
234-0,Car,012800-2013000120600-0
234-1,Car,012800-2013000120600-0
235-0,Car,015300-2012001493578-0
235-1,Car,015300-2012001493578-0
236-0,Car,035400-2016000410053-0
236-1,Car,035400-2016000410053-0
236-2,Car,035400-2016000410053-0
236-3,Car,035400-2016000410053-0
236-4,Car,035400-2016000410053-0
237-0,Car,030301-2016001476215-0
237-1,Car,030301-2016001476215-0
238-0,Car,010900-2014001274324-0
238-1,Car,010900-2014001274324-0
239-0,Car,031400-2013001106601-0
239-1,Car,031400-2013001106601-0
239-2,Car,031400-2013001106601-0
239-3,Car,031400-2013001106601-0
239-4,Car,031400-2013001106601-0
240-0,Car,017601-2014000833783-0
240-1,Car,017601-2014000833783-0
241-0,Car,015600-2015000156378-0
241-1,Car,015600-2015000156378-0
242-0,Car,030202-2015000856216-0
242-1,Car,030202-2015000856216-0
242-2,Car,030202-2015000856216-0
243-0,Car,047902-2013001019908-0
243-1,Car,047902-2013001019908-0
243-2,Car,047902-2013001019908-0
243-3,Car,047902-2013001019908-0
