PID,Age,Sex,Home_X,Home_Y,excluded-modes,income,rank,valueOfTime,Household_ID,Household_num_vehicles,Household_income [$]
100-2012000559396-011320,12,F,684196.6692615,4827302.4123595,car,11276.0,4,18.0,100-2012000559396-0,5,89469.0
100-2012000672671-013595,37,F,683953.9129844999,4828469.540351,,5932.0,0,18.0,100-2012000672671-0,5,8804.0
100-2012000672671-013626,44,M,683953.9129844999,4828469.540351,,38883.0,4,18.0,100-2012000672671-0,5,8804.0
100-2012000672671-013657,35,F,683953.9129844999,4828469.540351,,34013.0,2,18.0,100-2012000672671-0,5,8804.0
100-2012000672671-013688,12,M,683953.9129844999,4828469.540351,car,0.0,1,18.0,100-2012000672671-0,5,8804.0
100-2012000711495-013915,40,F,684918.539403,4830214.1264545005,,85749.0,3,18.0,100-2012000711495-0,5,127219.0
100-2012000711495-013946,40,M,684918.539403,4830214.1264545005,,663.0,1,18.0,100-2012000711495-0,5,127219.0
100-2012000711495-013977,8,F,684918.539403,4830214.1264545005,car,0.0,2,18.0,100-2012000711495-0,5,127219.0
100-2012000711495-014008,8,M,684918.539403,4830214.1264545005,car,0.0,0,18.0,100-2012000711495-0,5,127219.0
100-2012000752641-214889,49,M,684754.265448,4828742.573873,,25036.0,1,18.0,100-2012000752641-2,2,29363.0
100-2012000804271-015377,28,F,686260.6434259999,4827360.416399499,,37628.0,2,18.0,100-2012000804271-0,4,22506.0
100-2012000804271-015442,22,M,686236.3169795,4827430.7824035,,62443.0,3,18.0,100-2012000804271-0,4,22506.0
100-2012000804271-015507,11,F,686236.3169795,4827430.7824035,car,0.0,0,18.0,100-2012000804271-0,4,22506.0
100-2012000840641-016956,67,F,681176.43693,4825892.848778,,0.0,1,18.0,100-2012000840641-0,2,25261.0
100-2012000903731-018296,55,F,683953.9129844999,4828469.540351,,33298.0,1,18.0,100-2012000903731-0,3,145989.0
100-2012000903731-018336,54,F,683953.9129844999,4828469.540351,,56452.0,2,18.0,100-2012000903731-0,3,145989.0
100-2012000923823-018417,59,M,683960.7368625,4828162.4762855,,58265.0,1,18.0,100-2012000923823-0,5,121438.0
100-2012000923823-018465,59,F,683960.7368625,4828162.4762855,,0.0,2,18.0,100-2012000923823-0,5,121438.0
100-2012000923823-018513,10,M,683960.7368625,4828162.4762855,car,0.0,3,18.0,100-2012000923823-0,5,121438.0
100-2012000923823-018561,7,F,683960.7368625,4828162.4762855,car,0.0,4,18.0,100-2012000923823-0,5,121438.0
100-2012001111971-022494,51,F,681326.561309,4825683.6184324995,,16353.0,1,18.0,100-2012001111971-0,2,911.0
100-2012001118760-022601,62,M,684754.265448,4828742.573873,,88815.0,1,18.0,100-2012001118760-0,4,10717.0
100-2012001118760-022668,50,F,684754.265448,4828742.573873,,36868.0,0,18.0,100-2012001118760-0,4,10717.0
100-2012001118760-022735,7,M,684754.265448,4828742.573873,car,0.0,3,18.0,100-2012001118760-0,4,10717.0
100-2012001254838-124510,20,M,683953.9129844999,4828469.540351,,73610.0,0,18.0,100-2012001254838-1,5,40333.0
100-2012001254838-124605,27,M,683953.9129844999,4828469.540351,,20972.0,4,18.0,100-2012001254838-1,5,40333.0
100-2012001254838-124700,27,F,683953.9129844999,4828469.540351,,8922.0,2,18.0,100-2012001254838-1,5,40333.0
100-2012001254838-124795,31,M,683953.9129844999,4828469.540351,,34591.0,5,18.0,100-2012001254838-1,5,40333.0
100-2012001254838-124890,18,F,683953.9129844999,4828469.540351,,10631.0,3,18.0,100-2012001254838-1,5,40333.0
100-2012001304643-025169,43,M,683953.9129844999,4828469.540351,,22751.0,3,18.0,100-2012001304643-0,4,117648.0
100-2012001304643-025213,35,F,683953.9129844999,4828469.540351,,18604.0,1,18.0,100-2012001304643-0,4,117648.0
100-2012001304643-025257,2,M,683953.9129844999,4828469.540351,car,0.0,2,18.0,100-2012001304643-0,4,117648.0
100-2012001315564-025552,60,F,684818.1348375,4826157.844213,,10531.0,0,18.0,100-2012001315564-0,2,3249.0
100-2012001357312-026552,18,F,684153.8192795,4828582.6528135,,19419.0,0,18.0,100-2012001357312-0,5,95907.0
100-2012001357312-026611,9,M,684153.8192795,4828582.6528135,car,0.0,3,18.0,100-2012001357312-0,5,95907.0
100-2012001357312-026670,6,F,684153.8192795,4828582.6528135,car,17809.0,1,18.0,100-2012001357312-0,5,95907.0
100-2012001357312-026729,33,M,684153.8192795,4828582.6528135,,477.0,2,18.0,100-2012001357312-0,5,95907.0
100-2012001365754-026872,33,F,683970.6833325,4827790.890675999,,0.0,0,18.0,100-2012001365754-0,3,26794.0
100-2012001365754-026961,26,M,683970.6833325,4827790.890675999,,0.0,2,18.0,100-2012001365754-0,3,26794.0
100-2013000035041-029919,63,M,681226.584666,4825852.506742001,,67323.0,3,18.0,100-2013000035041-0,5,2512.0
100-2013000035041-029978,47,M,681226.584666,4825852.506742001,,73381.0,1,18.0,100-2013000035041-0,5,2512.0
100-2013000035041-030037,49,F,681226.584666,4825852.506742001,,0.0,4,18.0,100-2013000035041-0,5,2512.0
100-2013000035041-030096,18,F,681226.584666,4825852.506742001,,39359.0,2,18.0,100-2013000035041-0,5,2512.0
100-2013000113035-032226,46,F,683970.6833325,4827790.890675999,,54048.0,1,18.0,100-2013000113035-0,3,126433.0
100-2013000113035-032264,59,M,683970.6833325,4827790.890675999,,59520.0,2,18.0,100-2013000113035-0,3,126433.0
100-2013000168908-133204,37,M,684997.416832,4827817.788275501,,26490.0,0,18.0,100-2013000168908-1,3,62858.0
100-2013000168908-133317,56,F,684997.416832,4827817.788275501,,0.0,1,18.0,100-2013000168908-1,3,62858.0
100-2013000341290-037551,31,F,684918.539403,4830214.1264545005,,36539.0,1,18.0,100-2013000341290-0,4,11089.0
100-2013000341290-037585,20,M,684918.539403,4830214.1264545005,,37805.0,2,18.0,100-2013000341290-0,4,11089.0
100-2013000341290-037619,6,F,684918.539403,4830214.1264545005,car,0.0,0,18.0,100-2013000341290-0,4,11089.0
100-2013000376438-038568,66,M,681226.584666,4825852.506742001,,0.0,2,18.0,100-2013000376438-0,4,17618.0
100-2013000376438-038608,71,F,681226.584666,4825852.506742001,,0.0,3,18.0,100-2013000376438-0,4,17618.0
100-2013000376438-038648,28,F,681226.584666,4825852.506742001,,41927.0,0,18.0,100-2013000376438-0,4,17618.0
100-2013000479091-041474,69,M,681176.43693,4825892.848778,,5842.0,1,18.0,100-2013000479091-0,2,29857.0
100-2013000520267-042279,23,M,683048.0603485,4825988.621012,,25745.0,0,18.0,100-2013000520267-0,4,56379.0
100-2013000520267-042324,6,M,683052.82852,4825971.1510765,car,0.0,1,18.0,100-2013000520267-0,4,56379.0
100-2013000520267-042369,33,F,683048.0603485,4825988.621012,,32426.0,2,18.0,100-2013000520267-0,4,56379.0
100-2013000668727-046143,44,M,684148.1893585001,4826972.4118565,,0.0,3,18.0,100-2013000668727-0,4,105294.0
100-2013000668727-046268,53,F,684148.1893585001,4826972.4118565,,0.0,1,18.0,100-2013000668727-0,4,105294.0
100-2013000668727-046393,9,F,684148.1893585001,4826972.4118565,car,0.0,0,18.0,100-2013000668727-0,4,105294.0
100-2013000676049-046574,21,M,683212.6881929999,4826099.558321,,0.0,1,18.0,100-2013000676049-0,3,73311.0
100-2013000676049-046607,32,M,683212.6881929999,4826099.558321,,61791.0,2,18.0,100-2013000676049-0,3,73311.0
100-2013000871283-049251,74,F,684196.6692615,4827302.4123595,,0.0,1,18.0,100-2013000871283-0,3,26155.0
100-2013000871283-049285,74,M,684196.6692615,4827302.4123595,,0.0,2,18.0,100-2013000871283-0,3,26155.0
100-2013001005169-051483,38,F,684918.539403,4830214.1264545005,,123578.0,2,18.0,100-2013001005169-0,5,44788.0
100-2013001005169-051515,12,F,684918.539403,4830214.1264545005,car,0.0,3,18.0,100-2013001005169-0,5,44788.0
100-2013001005169-051547,16,F,684918.539403,4830214.1264545005,,0.0,1,18.0,100-2013001005169-0,5,44788.0
100-2013001005169-051579,60,M,684918.539403,4830214.1264545005,,23449.0,4,18.0,100-2013001005169-0,5,44788.0
100-2013001153397-054101,31,F,681226.584666,4825852.506742001,,14999.0,0,18.0,100-2013001153397-0,3,112435.0
100-2013001153397-054141,23,F,681226.584666,4825852.506742001,,6656.0,2,18.0,100-2013001153397-0,3,112435.0
100-2013001206907-055800,21,F,683780.681596,4824586.897005,,12097.0,1,18.0,100-2013001206907-0,3,54581.0
100-2013001206907-055834,33,F,683780.681596,4824586.897005,,37967.0,2,18.0,100-2013001206907-0,3,54581.0
100-2013001222978-056053,58,F,684918.539403,4830214.1264545005,,6962.0,2,18.0,100-2013001222978-0,3,36435.0
100-2013001222978-056089,60,F,684918.539403,4830214.1264545005,,45355.0,0,18.0,100-2013001222978-0,3,36435.0
100-2013001394719-058725,41,M,685389.7274160001,4827814.683003,,43352.0,1,18.0,100-2013001394719-0,2,6829.0
100-2014000000467-060877,44,M,684196.6692615,4827302.4123595,,41308.0,0,18.0,100-2014000000467-0,2,21542.0
100-2014000017712-061019,51,M,682860.4132075,4825934.4568665,,37139.0,4,18.0,100-2014000017712-0,5,58004.0
100-2014000017712-061052,54,F,682801.4469685,4825937.8234035,,9628.0,1,18.0,100-2014000017712-0,5,58004.0
100-2014000017712-061085,16,M,682801.4469685,4825937.8234035,,0.0,0,18.0,100-2014000017712-0,5,58004.0
100-2014000017712-061118,12,M,682801.4469685,4825937.8234035,car,0.0,2,18.0,100-2014000017712-0,5,58004.0
100-2014000023781-061275,40,M,684918.539403,4830214.1264545005,,0.0,1,18.0,100-2014000023781-0,2,6553.0
100-2014000032166-061391,22,F,685135.005721,4829609.701836,,11237.0,0,18.0,100-2014000032166-0,3,82162.0
100-2014000032166-061428,19,M,685135.005721,4829609.701836,,15698.0,2,18.0,100-2014000032166-0,3,82162.0
100-2014000077550-162793,48,M,684196.6692615,4827302.4123595,,28827.0,1,18.0,100-2014000077550-1,2,19460.0
100-2014000119219-064057,69,M,682219.797983,4825860.848631499,,0.0,0,18.0,100-2014000119219-0,3,149608.0
100-2014000119219-064100,66,F,682153.631244,4825881.229432501,,0.0,2,18.0,100-2014000119219-0,3,149608.0
100-2014000475625-071010,51,F,685233.849302,4829612.160273001,,13176.0,0,18.0,100-2014000475625-0,3,4034.0
100-2014000475625-071044,24,M,685233.849302,4829612.160273001,,14837.0,2,18.0,100-2014000475625-0,3,4034.0
100-2014000488669-071591,40,F,684754.265448,4828742.573873,,32743.0,2,18.0,100-2014000488669-0,5,132247.0
100-2014000488669-071634,57,M,684754.265448,4828742.573873,,34766.0,0,18.0,100-2014000488669-0,5,132247.0
100-2014000488669-071677,22,M,684754.265448,4828742.573873,,36824.0,3,18.0,100-2014000488669-0,5,132247.0
100-2014000488669-071720,14,M,684754.265448,4828742.573873,car,0.0,4,18.0,100-2014000488669-0,5,132247.0
100-2014000490800-071785,27,F,683979.645562,4827445.595206499,,67931.0,1,18.0,100-2014000490800-0,4,101913.0
100-2014000490800-071823,48,M,683979.645562,4827445.595206499,,7935.0,3,18.0,100-2014000490800-0,4,101913.0
100-2014000490800-071861,7,M,683979.645562,4827445.595206499,car,0.0,0,18.0,100-2014000490800-0,4,101913.0
100-2014000514559-072280,66,F,681326.561309,4825683.6184324995,,0.0,0,18.0,100-2014000514559-0,2,32857.0
100-2014000545247-073269,20,F,684918.539403,4830214.1264545005,,0.0,0,18.0,100-2014000545247-0,2,27127.0
100-2014000550778-273500,68,F,683970.6833325,4827790.890675999,,7667.0,0,18.0,100-2014000550778-2,2,35990.0
100-2014000641447-075310,30,M,685580.1382605,4828015.9021345,,33173.0,1,18.0,100-2014000641447-0,2,14822.0
100-2014000728802-076263,48,F,683953.9129844999,4828469.540351,,23759.0,1,18.0,100-2014000728802-0,2,38157.0
100-2014000763883-076551,53,F,683953.9129844999,4828469.540351,,106062.0,2,18.0,100-2014000763883-0,4,83832.0
100-2014000763883-076592,43,M,683953.9129844999,4828469.540351,,0.0,0,18.0,100-2014000763883-0,4,83832.0
100-2014000763883-076633,15,F,683953.9129844999,4828469.540351,car,0.0,3,18.0,100-2014000763883-0,4,83832.0
100-2014000858265-078431,53,M,684530.0771995,4827060.6502205,,90206.0,0,18.0,100-2014000858265-0,4,42182.0
100-2014000858265-078465,57,F,684837.717329,4827199.540049501,,23888.0,1,18.0,100-2014000858265-0,4,42182.0
100-2014000858265-078499,6,F,684530.0771995,4827060.6502205,car,0.0,3,18.0,100-2014000858265-0,4,42182.0
100-2014001004621-182142,56,F,684754.265448,4828742.573873,,38331.0,2,18.0,100-2014001004621-1,3,62198.0
100-2014001004621-182266,23,F,684754.265448,4828742.573873,,19614.0,0,18.0,100-2014001004621-1,3,62198.0
100-2014001023329-082421,24,M,685135.005721,4829609.701836,,24725.0,1,18.0,100-2014001023329-0,2,16416.0
100-2014001093458-084476,70,F,682860.4132075,4825934.4568665,,0.0,2,18.0,100-2014001093458-0,3,144817.0
100-2014001093458-084518,71,M,682801.4469685,4825937.8234035,,61789.0,0,18.0,100-2014001093458-0,3,144817.0
100-2014001138085-085379,21,M,686236.3169795,4827430.7824035,,35972.0,0,18.0,100-2014001138085-0,2,31109.0
100-2014001183852-086904,57,M,686269.3801760001,4826946.5446185,,40166.0,1,18.0,100-2014001183852-0,5,10126.0
100-2014001183852-086936,38,F,686269.3801760001,4826946.5446185,,36748.0,0,18.0,100-2014001183852-0,5,10126.0
100-2014001183852-086968,3,M,686269.3801760001,4826946.5446185,car,0.0,4,18.0,100-2014001183852-0,5,10126.0
100-2014001183852-087000,16,F,686241.7710770001,4826973.956437999,,0.0,3,18.0,100-2014001183852-0,5,10126.0
100-2014001217922-087811,57,M,682219.797983,4825860.848631499,,994.0,1,18.0,100-2014001217922-0,2,16687.0
100-2014001404766-090700,45,M,685312.442253,4830220.514125,,0.0,2,18.0,100-2014001404766-0,4,82957.0
100-2014001404766-090737,54,F,685312.442253,4830220.514125,,15177.0,3,18.0,100-2014001404766-0,4,82957.0
100-2014001404766-090774,6,M,685312.442253,4830220.514125,car,0.0,1,18.0,100-2014001404766-0,4,82957.0
100-2015000082599-092637,23,M,685460.9998245,4830225.206666499,,41276.0,0,18.0,100-2015000082599-0,2,18690.0
100-2015000189392-194673,47,M,681226.584666,4825852.506742001,,38142.0,3,18.0,100-2015000189392-1,4,71954.0
100-2015000189392-194755,33,M,681226.584666,4825852.506742001,,29172.0,1,18.0,100-2015000189392-1,4,71954.0
100-2015000189392-194837,59,F,681226.584666,4825852.506742001,,47577.0,0,18.0,100-2015000189392-1,4,71954.0
100-2015000207675-095032,58,M,681004.7847394999,4825903.3722155,,10447.0,5,18.0,100-2015000207675-0,5,45957.0
100-2015000207675-095074,49,F,681004.7847394999,4825903.3722155,,15308.0,3,18.0,100-2015000207675-0,5,45957.0
100-2015000207675-095116,0,F,681004.7847394999,4825903.3722155,car,0.0,0,18.0,100-2015000207675-0,5,45957.0
100-2015000207675-095158,0,M,681004.7847394999,4825903.3722155,car,0.0,4,18.0,100-2015000207675-0,5,45957.0
100-2015000207675-095200,8,M,681004.7847394999,4825903.3722155,car,0.0,2,18.0,100-2015000207675-0,5,45957.0
100-2015000213571-095513,44,M,684918.539403,4830214.1264545005,,11250.0,6,18.0,100-2015000213571-0,5,53075.0
100-2015000213571-095556,63,F,684918.539403,4830214.1264545005,,50308.0,3,18.0,100-2015000213571-0,5,53075.0
100-2015000213571-095599,16,F,684918.539403,4830214.1264545005,,0.0,2,18.0,100-2015000213571-0,5,53075.0
100-2015000213571-095642,3,M,684918.539403,4830214.1264545005,car,0.0,4,18.0,100-2015000213571-0,5,53075.0
100-2015000213571-095685,1,M,684918.539403,4830214.1264545005,car,0.0,1,18.0,100-2015000213571-0,5,53075.0
100-2015000213571-095728,15,F,684918.539403,4830214.1264545005,car,0.0,0,18.0,100-2015000213571-0,5,53075.0
100-2015000290126-096623,55,M,683960.7368625,4828162.4762855,,96442.0,4,18.0,100-2015000290126-0,5,101988.0
100-2015000290126-096656,44,F,683960.7368625,4828162.4762855,,61748.0,1,18.0,100-2015000290126-0,5,101988.0
100-2015000290126-096689,16,F,683960.7368625,4828162.4762855,,0.0,0,18.0,100-2015000290126-0,5,101988.0
100-2015000290126-096722,8,M,683960.7368625,4828162.4762855,car,0.0,2,18.0,100-2015000290126-0,5,101988.0
100-2015000306203-097133,31,F,685312.442253,4830220.514125,,26342.0,1,18.0,100-2015000306203-0,3,43812.0
100-2015000306203-097173,69,M,685312.442253,4830220.514125,,25902.0,0,18.0,100-2015000306203-0,3,43812.0
100-2015000392807-198606,67,F,683953.9129844999,4828469.540351,,0.0,1,18.0,100-2015000392807-1,2,18500.0
100-2015000397516-098794,72,M,679994.044708,4826524.1135019995,,0.0,1,18.0,100-2015000397516-0,2,15566.0
100-2015000397926-098830,57,F,684778.0479305,4828036.3355640005,,0.0,2,18.0,100-2015000397926-0,4,120219.0
100-2015000397926-098874,30,M,684778.0479305,4828036.3355640005,,19530.0,1,18.0,100-2015000397926-0,4,120219.0
100-2015000397926-098918,18,F,684778.0479305,4828036.3355640005,,11224.0,3,18.0,100-2015000397926-0,4,120219.0
100-2015000401067-099289,72,F,686074.3325390001,4828028.423146,,0.0,1,18.0,100-2015000401067-0,2,13960.0
100-2015000475027-0100144,73,F,684824.5307805,4827605.510099,,0.0,0,18.0,100-2015000475027-0,2,14846.0
100-2015000645635-0103734,60,F,683472.9321195,4825330.0753065,,46382.0,0,18.0,100-2015000645635-0,2,19215.0
100-2015000732389-0105654,67,M,685135.005721,4829609.701836,,0.0,1,18.0,100-2015000732389-0,3,116935.0
100-2015000732389-0105715,71,F,685135.005721,4829609.701836,,0.0,0,18.0,100-2015000732389-0,3,116935.0
100-2015000806558-0108171,22,M,683970.6833325,4827790.890675999,,20226.0,1,18.0,100-2015000806558-0,2,21024.0
100-2015001195146-0117733,23,F,684918.539403,4830214.1264545005,,40733.0,2,18.0,100-2015001195146-0,3,17023.0
100-2015001195146-0117851,13,F,684918.539403,4830214.1264545005,car,0.0,1,18.0,100-2015001195146-0,3,17023.0
100-2015001265529-0119585,69,M,684918.539403,4830214.1264545005,,0.0,0,18.0,100-2015001265529-0,2,31975.0
100-2016000012225-1124410,66,M,683212.6881929999,4826099.558321,,0.0,0,18.0,100-2016000012225-1,5,19742.0
100-2016000012225-1124499,56,M,683212.6881929999,4826099.558321,,0.0,2,18.0,100-2016000012225-1,5,19742.0
100-2016000012225-1124588,15,F,683212.6881929999,4826099.558321,car,0.0,4,18.0,100-2016000012225-1,5,19742.0
100-2016000012225-1124677,1,M,683212.6881929999,4826099.558321,car,0.0,1,18.0,100-2016000012225-1,5,19742.0
100-2016000029416-1124875,59,F,685233.849302,4829612.160273001,,27202.0,4,18.0,100-2016000029416-1,5,63395.0
100-2016000029416-1124966,56,M,685233.849302,4829612.160273001,,0.0,2,18.0,100-2016000029416-1,5,63395.0
100-2016000029416-1125057,24,M,685233.849302,4829612.160273001,,4077.0,3,18.0,100-2016000029416-1,5,63395.0
100-2016000029416-1125148,31,M,685233.849302,4829612.160273001,,25767.0,0,18.0,100-2016000029416-1,5,63395.0
100-2016000047389-0125734,44,F,684153.8192795,4828582.6528135,,45069.0,2,18.0,100-2016000047389-0,3,136848.0
100-2016000047389-0125774,52,M,684153.8192795,4828582.6528135,,55949.0,0,18.0,100-2016000047389-0,3,136848.0
100-2016000116811-0127416,61,F,684148.1893585001,4826972.4118565,,45703.0,3,18.0,100-2016000116811-0,5,294.0
100-2016000116811-0127543,27,M,684148.1893585001,4826972.4118565,,6768.0,0,18.0,100-2016000116811-0,5,294.0
100-2016000116811-0127670,8,M,684148.1893585001,4826972.4118565,car,0.0,2,18.0,100-2016000116811-0,5,294.0
100-2016000116811-0127797,10,M,684148.1893585001,4826972.4118565,car,0.0,4,18.0,100-2016000116811-0,5,294.0
100-2016000116811-0127924,8,F,684148.1893585001,4826972.4118565,car,0.0,5,18.0,100-2016000116811-0,5,294.0
100-2016000116811-1127417,56,F,681176.43693,4825892.848778,,19564.0,4,18.0,100-2016000116811-1,5,24968.0
100-2016000116811-1127544,20,M,681176.43693,4825892.848778,,16716.0,3,18.0,100-2016000116811-1,5,24968.0
100-2016000116811-1127671,1,M,681176.43693,4825892.848778,car,12040.0,2,18.0,100-2016000116811-1,5,24968.0
100-2016000116811-1127798,11,M,681176.43693,4825892.848778,car,0.0,5,18.0,100-2016000116811-1,5,24968.0
100-2016000116811-1127925,4,F,681176.43693,4825892.848778,car,6564.0,0,18.0,100-2016000116811-1,5,24968.0
100-2016000171219-0128782,26,M,684153.8192795,4828582.6528135,,0.0,1,18.0,100-2016000171219-0,4,48240.0
100-2016000171219-0128817,23,F,684153.8192795,4828582.6528135,,14766.0,3,18.0,100-2016000171219-0,4,48240.0
100-2016000171219-0128852,56,M,684153.8192795,4828582.6528135,,37541.0,0,18.0,100-2016000171219-0,4,48240.0
100-2016000222604-0129694,52,F,684918.539403,4830214.1264545005,,34432.0,0,18.0,100-2016000222604-0,2,8912.0
100-2016000250854-0130390,52,M,684811.0698365,4827604.3000125,,66956.0,5,18.0,100-2016000250854-0,5,26542.0
100-2016000250854-0130478,61,F,684824.5307805,4827605.510099,,11467.0,1,18.0,100-2016000250854-0,5,26542.0
100-2016000250854-0130566,10,M,684811.0698365,4827604.3000125,car,0.0,4,18.0,100-2016000250854-0,5,26542.0
100-2016000250854-0130654,14,M,684811.0698365,4827604.3000125,car,0.0,0,18.0,100-2016000250854-0,5,26542.0
100-2016000250854-0130742,16,M,684811.0698365,4827604.3000125,,0.0,2,18.0,100-2016000250854-0,5,26542.0
100-2016000276489-0131599,74,M,686241.7710770001,4826973.956437999,,0.0,0,18.0,100-2016000276489-0,3,38299.0
100-2016000276489-0131642,65,F,686269.3801760001,4826946.5446185,,39088.0,2,18.0,100-2016000276489-0,3,38299.0
100-2016000295788-0131792,35,M,681176.43693,4825892.848778,,93950.0,5,18.0,100-2016000295788-0,5,105421.0
100-2016000295788-0131823,50,F,681176.43693,4825892.848778,,19080.0,1,18.0,100-2016000295788-0,5,105421.0
100-2016000295788-0131854,8,M,681176.43693,4825892.848778,car,0.0,0,18.0,100-2016000295788-0,5,105421.0
100-2016000295788-0131885,5,F,681176.43693,4825892.848778,car,0.0,2,18.0,100-2016000295788-0,5,105421.0
100-2016000295788-0131916,7,M,681176.43693,4825892.848778,car,0.0,3,18.0,100-2016000295788-0,5,105421.0
100-2016000364640-0132399,50,M,683538.2803495,4826031.3754855,,51700.0,7,18.0,100-2016000364640-0,5,93356.0
100-2016000364640-0132443,6,F,683538.2803495,4826031.3754855,car,0.0,6,18.0,100-2016000364640-0,5,93356.0
100-2016000364640-0132487,12,M,683538.2803495,4826031.3754855,car,0.0,5,18.0,100-2016000364640-0,5,93356.0
100-2016000364640-0132531,8,M,683538.2803495,4826031.3754855,car,26355.0,3,18.0,100-2016000364640-0,5,93356.0
100-2016000364640-0132575,1,F,683538.2803495,4826031.3754855,car,0.0,0,18.0,100-2016000364640-0,5,93356.0
