Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
19	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:10:47	22:11:52	22:11:52	22:11:52	22:11:52	22:11:52	22:11:52	22:11:58	22:11:58		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
20	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:11:58	22:12:59	22:12:59	22:12:59	22:12:59	22:12:59	22:12:59	22:13:05	22:13:05		00:00:00	00:00:00	00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:05	00:01:07
21	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:13:05	22:14:06	22:14:06	22:14:06	22:14:06	22:14:06	22:14:06	22:14:11	22:14:11		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
22	22:14:11	22:14:11	22:14:11	22:14:11	22:14:11	22:14:11	22:14:11	22:14:12	22:14:12	22:14:12	22:15:17	22:15:17	22:15:17	22:15:17	22:15:17	22:15:17	22:15:23	22:15:23		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:05	00:01:11
23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:15:23	22:16:25	22:16:25	22:16:25	22:16:25	22:16:25	22:16:25	22:16:30	22:16:30		00:00:00	00:00:00	00:00:00	00:00:00	00:01:01	00:00:00	00:00:00	00:00:05	00:01:07
24	22:16:30	22:16:30	22:16:30	22:16:30	22:16:30	22:16:30	22:16:30	22:16:31	22:16:31	22:16:31	22:17:33	22:17:33	22:17:33	22:17:33	22:17:33	22:17:33	22:17:39	22:17:39		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
25	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:17:39	22:18:42	22:18:42	22:18:42	22:18:42	22:18:42	22:18:42	22:18:48	22:18:48		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
26	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:18:48	22:19:51	22:19:51	22:19:51	22:19:51	22:19:51	22:19:51	22:19:56	22:19:56		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
27	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:19:56	22:20:57	22:20:57	22:20:57	22:20:57	22:20:57	22:20:57	22:21:03	22:21:03		00:00:00	00:00:00	00:00:00	00:00:00	00:01:00	00:00:00	00:00:00	00:00:05	00:01:06
28	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:21:03	22:22:06	22:22:06	22:22:06	22:22:06	22:22:06	22:22:06	22:22:12	22:22:12		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
29	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:22:12	22:23:15	22:23:15	22:23:15	22:23:15	22:23:15	22:23:15	22:23:21	22:23:21		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
30	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:23:21	22:24:25	22:24:25	22:24:25	22:24:25	22:24:25	22:24:25	22:24:31	22:24:31		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:24:31	22:25:34	22:25:34	22:25:34	22:25:34	22:25:34	22:25:34	22:25:40	22:25:40		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
32	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:25:40	22:26:45	22:26:45	22:26:45	22:26:45	22:26:45	22:26:45	22:26:51	22:26:51		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
33	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:26:51	22:27:53	22:27:53	22:27:53	22:27:53	22:27:53	22:27:53	22:27:59	22:27:59		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
34	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:27:59	22:29:02	22:29:02	22:29:02	22:29:02	22:29:02	22:29:02	22:29:08	22:29:08		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
35	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:29:08	22:30:11	22:30:11	22:30:11	22:30:11	22:30:11	22:30:11	22:30:17	22:30:17		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
36	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:30:17	22:31:21	22:31:21	22:31:21	22:31:21	22:31:21	22:31:21	22:31:27	22:31:27		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
37	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:31:27	22:32:30	22:32:30	22:32:30	22:32:30	22:32:30	22:32:30	22:32:36	22:32:36		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
38	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:32:36	22:33:42	22:33:42	22:33:42	22:33:42	22:33:42	22:33:42	22:33:48	22:33:48		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:06	00:01:12
39	22:33:48	22:33:48	22:33:48	22:33:48	22:33:48	22:33:48	22:33:48	22:33:49	22:33:49	22:33:49	22:34:52	22:34:52	22:34:52	22:34:52	22:34:52	22:34:52	22:34:58	22:34:58		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:05	00:01:09
40	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:34:58	22:36:02	22:36:02	22:36:02	22:36:02	22:36:02	22:36:02	22:36:08	22:36:08		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
41	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:36:08	22:37:14	22:37:14	22:37:14	22:37:14	22:37:14	22:37:14	22:37:20	22:37:20		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:05	00:01:12
42	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:37:21	22:38:25	22:38:25	22:38:25	22:38:25	22:38:25	22:38:25	22:38:31	22:38:31		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
43	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:38:31	22:39:36	22:39:36	22:39:36	22:39:36	22:39:36	22:39:36	22:39:42	22:39:42		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:05	00:01:10
44	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:39:42	22:40:48	22:40:48	22:40:48	22:40:48	22:40:48	22:40:48	22:40:54	22:40:54		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
45	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:40:54	22:41:57	22:41:57	22:41:57	22:41:57	22:41:57	22:41:57	22:42:02	22:42:02		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
46	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:42:03	22:43:05	22:43:05	22:43:05	22:43:05	22:43:05	22:43:05	22:43:11	22:43:11		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:06	00:01:08
47	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:43:11	22:44:14	22:44:14	22:44:14	22:44:14	22:44:14	22:44:14	22:44:20	22:44:20		00:00:00	00:00:00	00:00:00	00:00:00	00:01:02	00:00:00	00:00:00	00:00:05	00:01:08
48	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:44:20	22:45:25	22:45:25	22:45:25	22:45:25	22:45:25	22:45:25	22:45:31	22:45:31		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
49	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:45:32	22:46:36	22:46:36	22:46:36	22:46:36	22:46:36	22:46:36	22:46:42	22:46:42		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
50	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:46:42	22:47:46	22:47:46	22:47:46	22:47:46	22:47:46	22:47:46	22:47:52	22:47:52		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:06	00:01:10
51	22:47:52	22:47:52	22:47:52	22:47:52	22:47:52	22:47:52	22:47:52	22:47:53	22:47:53	22:47:53	22:48:58	22:48:58	22:48:58	22:48:58	22:48:58	22:48:58	22:49:04	22:49:04		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
52	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:49:04	22:50:11	22:50:11	22:50:11	22:50:11	22:50:11	22:50:11	22:50:17	22:50:17		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:05	00:01:12
53	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:50:17	22:51:22	22:51:22	22:51:22	22:51:22	22:51:22	22:51:22	22:51:29	22:51:29		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
54	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:51:29	22:52:34	22:52:34	22:52:34	22:52:34	22:52:35	22:52:35	22:52:41	22:52:41		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:12
55	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:52:41	22:53:45	22:53:45	22:53:45	22:53:45	22:53:45	22:53:45	22:53:51	22:53:51		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:06	00:01:10
56	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:53:52	22:54:55	22:54:55	22:54:55	22:54:55	22:54:55	22:54:55	22:55:01	22:55:01		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
57	22:55:01	22:55:01	22:55:01	22:55:01	22:55:01	22:55:01	22:55:01	22:55:02	22:55:02	22:55:02	22:56:05	22:56:05	22:56:05	22:56:05	22:56:05	22:56:05	22:56:11	22:56:11		00:00:00	00:00:00	00:00:00	00:00:00	00:01:03	00:00:00	00:00:00	00:00:06	00:01:09
58	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:56:11	22:57:16	22:57:16	22:57:16	22:57:16	22:57:16	22:57:16	22:57:22	22:57:22		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:06	00:01:10
59	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:57:22	22:58:27	22:58:27	22:58:27	22:58:27	22:58:27	22:58:27	22:58:34	22:58:34		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
60	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:58:34	22:59:39	22:59:39	22:59:39	22:59:39	22:59:39	22:59:39	22:59:46	22:59:46		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
61	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	22:59:46	23:00:50	23:00:50	23:00:50	23:00:50	23:00:50	23:00:50	23:00:56	23:00:56		00:00:00	00:00:00	00:00:00	00:00:00	00:01:04	00:00:00	00:00:00	00:00:06	00:01:10
62	23:00:56	23:00:56	23:00:56	23:00:56	23:00:56	23:00:56	23:00:56	23:00:57	23:00:57	23:00:57	23:02:04	23:02:04	23:02:04	23:02:04	23:02:04	23:02:04	23:02:11	23:02:11		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:14
63	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:02:11	23:03:16	23:03:16	23:03:16	23:03:16	23:03:16	23:03:16	23:03:22	23:03:22		00:00:00	00:00:00	00:00:00	00:00:00	00:01:05	00:00:00	00:00:00	00:00:06	00:01:11
64	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:03:23	23:04:30	23:04:30	23:04:30	23:04:30	23:04:30	23:04:30	23:04:36	23:04:36		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
65	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:04:37	23:05:44	23:05:44	23:05:44	23:05:44	23:05:44	23:05:44	23:05:51	23:05:51		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
66	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:05:51	23:06:57	23:06:57	23:06:57	23:06:57	23:06:57	23:06:57	23:07:03	23:07:03		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:06	00:01:12
67	23:07:03	23:07:03	23:07:03	23:07:03	23:07:03	23:07:03	23:07:03	23:07:04	23:07:04	23:07:04	23:08:11	23:08:11	23:08:11	23:08:11	23:08:11	23:08:11	23:08:18	23:08:18		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:14
68	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:08:18	23:09:24	23:09:24	23:09:24	23:09:24	23:09:24	23:09:24	23:09:31	23:09:31		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:06	00:01:12
69	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:09:31	23:10:39	23:10:39	23:10:39	23:10:39	23:10:39	23:10:39	23:10:45	23:10:45		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
70	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:10:45	23:11:53	23:11:53	23:11:53	23:11:53	23:11:53	23:11:53	23:11:59	23:11:59		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:14
71	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:11:59	23:13:07	23:13:07	23:13:07	23:13:07	23:13:07	23:13:07	23:13:13	23:13:13		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
72	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:13:13	23:14:21	23:14:21	23:14:21	23:14:21	23:14:21	23:14:21	23:14:27	23:14:27		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
73	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:14:27	23:15:35	23:15:35	23:15:35	23:15:35	23:15:35	23:15:35	23:15:42	23:15:42		00:00:00	00:00:00	00:00:00	00:00:00	00:01:08	00:00:00	00:00:00	00:00:06	00:01:14
74	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:15:42	23:16:51	23:16:51	23:16:51	23:16:51	23:16:51	23:16:51	23:16:58	23:16:58		00:00:00	00:00:00	00:00:00	00:00:00	00:01:09	00:00:00	00:00:00	00:00:06	00:01:15
75	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:16:58	23:18:05	23:18:05	23:18:05	23:18:05	23:18:05	23:18:05	23:18:11	23:18:11		00:00:00	00:00:00	00:00:00	00:00:00	00:01:06	00:00:00	00:00:00	00:00:06	00:01:13
76	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:18:11	23:19:20	23:19:20	23:19:20	23:19:20	23:19:20	23:19:20	23:19:26	23:19:26		00:00:00	00:00:00	00:00:00	00:00:00	00:01:08	00:00:00	00:00:00	00:00:06	00:01:14
77	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:19:26	23:20:34	23:20:34	23:20:34	23:20:34	23:20:34	23:20:34	23:20:40	23:20:40		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:14
78	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:20:40	23:21:52	23:21:52	23:21:52	23:21:52	23:21:52	23:21:52	23:21:58	23:21:58		00:00:00	00:00:00	00:00:00	00:00:00	00:01:11	00:00:00	00:00:00	00:00:06	00:01:17
79	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:21:58	23:23:10	23:23:10	23:23:10	23:23:10	23:23:10	23:23:10	23:23:16	23:23:16		00:00:00	00:00:00	00:00:00	00:00:00	00:01:11	00:00:00	00:00:00	00:00:06	00:01:18
80	23:23:16	23:23:16	23:23:16	23:23:16	23:23:16	23:23:16	23:23:16	23:23:17	23:23:17	23:23:17	23:24:24	23:24:24	23:24:24	23:24:24	23:24:24	23:24:24	23:24:30	23:24:30		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
81	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:24:31	23:25:38	23:25:38	23:25:38	23:25:38	23:25:38	23:25:38	23:25:44	23:25:44		00:00:00	00:00:00	00:00:00	00:00:00	00:01:07	00:00:00	00:00:00	00:00:06	00:01:13
