Iteration,agencyRevenue_217,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInSec,averageTripExpenditure,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,busCrowding,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,motorizedVehicleMilesTraveled_total,numberOfVehicles_BODY-TYPE-DEFAULT,numberOfVehicles_BUS-DEFAULT,numberOfVehicles_CAR-TYPE-DEFAULT,personTravelTime_car,personTravelTime_drive_transit,personTravelTime_onDemandRide,personTravelTime_others,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_car,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_car,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_car,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit,vehicleHoursTraveled_BODY-TYPE-DEFAULT,vehicleHoursTraveled_BUS-DEFAULT,vehicleHoursTraveled_BUS-SMALL-HD,vehicleHoursTraveled_BUS-STD-ART,vehicleHoursTraveled_BUS-STD-HD,vehicleHoursTraveled_CAR-TYPE-DEFAULT,vehicleMilesTraveled_BODY-TYPE-DEFAULT,vehicleMilesTraveled_BUS-DEFAULT,vehicleMilesTraveled_BUS-SMALL-HD,vehicleMilesTraveled_BUS-STD-ART,vehicleMilesTraveled_BUS-STD-HD,vehicleMilesTraveled_CAR-TYPE-DEFAULT
10,231.75,9.31611111111111,343.8,2.6470833333333332,0.5243782254366027,1.9705618612187898,2.0776867093287086,0.8766293365276457,740.8171262379489,509.7171948434125,624.0774823100809,459.56843185910026,93.16111111111111,146953.95255800037,45.09452801433746,26419.89684492902,9045.047988770599,996.0,255.0,823.0,29492.666666666668,4757.166666666667,1992.7166666666667,4044.6666666666665,1938.0666666666666,5279.283333333334,0.0,0.0,0.5004745343927445,1.1644736842105263,5.193753043919704,0.0,0.0,0.0,1.2349137931034482,175.65726728836722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.15527777777777,157.43333333333334,0.0,0.0,0.0,565.2386111111111,528.6875589612516,4554.716314349363,0.0,0.0,0.0,4490.331674421282
11,253.5,10.105833333333333,317.319587628866,2.5789529914529887,0.5050536458914913,1.997305547772838,2.0458813531782467,0.8455551717866474,720.9911626024132,534.4871672467148,593.3735571111113,468.5180077514789,96.50132625994695,146953.9525580004,47.77157317233752,26194.230506938435,9006.693686659659,996.0,255.0,820.0,30211.483333333334,4346.216666666666,1911.1166666666668,5579.683333333333,1572.4833333333333,5621.25,0.0,0.0,0.48336669818554595,1.1753731343283582,5.038472936180899,0.0,0.0,0.0,1.2393617021276595,182.72202302307676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.1063888888889,157.43333333333334,0.0,0.0,0.0,574.5283333333333,560.0731955813329,4554.716314349363,0.0,0.0,0.0,4451.977372310344
12,271.5,11.084722222222222,340.77777777777777,2.8952546296296284,0.4888585240538253,1.8669099552373372,1.8994329990979102,0.9599158418784901,766.2875810308633,588.629177510545,721.9632532293996,505.5806363376678,99.51371571072319,146953.95255800043,49.599380515337494,26082.489920254106,8987.702231142197,996.0,255.0,816.0,30392.216666666667,4671.2,1803.2666666666667,5657.4,1208.2666666666667,6156.25,0.0,0.0,0.4875769528876995,1.1634615384615385,5.016168710784777,0.0,0.0,0.0,1.2552083333333333,190.2949339548722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.08305555555555,157.43333333333334,0.0,0.0,0.0,576.7086111111112,581.5023810052244,4554.716314349363,0.0,0.0,0.0,4432.985916792855
13,274.5,11.92361111111111,339.1666666666667,2.832222222222219,0.5199766639288753,1.8804275741447214,2.0923548007894395,0.7694513830952481,762.7746721513432,615.7577163221642,725.3041175352474,509.8277573001744,106.77860696517413,146953.9525580004,44.69228605133747,26026.457343443755,8978.17892164829,996.0,255.0,812.0,30638.483333333334,4323.816666666667,1840.2333333333333,4326.683333333333,1180.8833333333334,6588.65,0.0,0.0,0.5163833712642607,1.1129032258064515,5.1848261056143485,0.0,0.0,0.0,1.2607361963190185,193.30969130964945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.80527777777777,157.43333333333334,0.0,0.0,0.0,581.1602777777778,523.9716803193323,4554.716314349363,0.0,0.0,0.0,4423.462607298964
14,266.25,10.388333333333334,345.4736842105263,2.6156249999999974,0.5139891066475243,1.8163518532438827,1.977803151941725,0.7695519524200144,783.3615951999371,479.6900268001697,575.1565828654577,469.93863786190224,95.6470588235294,146953.9525580004,46.210291699337496,26291.762072512982,9023.270173718865,996.0,255.0,819.0,30126.65,4393.583333333333,1773.0166666666667,4853.85,1673.2666666666667,5691.033333333334,0.0,0.0,0.5316083254360084,1.171875,5.196903357852697,0.0,0.0,0.0,1.2418831168831168,182.3622991925215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.85472222222222,157.43333333333334,0.0,0.0,0.0,572.0505555555555,541.7687553940584,4554.716314349363,0.0,0.0,0.0,4468.553859369553
15,264.0,10.474166666666667,334.9901960784314,3.069102564102562,0.47318406340215835,1.7714076409060455,1.845153880208751,0.8689373338717947,671.0431165437303,508.1740109099788,593.0386157332118,436.49701759314047,95.46075949367089,146953.9525580004,48.71453162933744,25825.31223730196,8943.992253677361,996.0,255.0,819.0,29190.516666666666,4183.866666666667,1650.2333333333333,4662.05,1672.2666666666667,6415.316666666667,0.0,0.0,0.4883562065685575,1.1704545454545454,5.217678544565619,0.0,0.0,0.0,1.2618243243243243,168.0513517733591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.41472222222222,157.43333333333334,0.0,0.0,0.0,550.9658333333333,571.1284261555318,4554.716314349363,0.0,0.0,0.0,4389.275939328055
16,244.5,11.048055555555555,334.9583333333333,2.6119949494949477,0.45640379138594434,1.883317078326494,1.9233824528300392,0.6967592414424058,745.484948387483,548.0270923654373,666.0468559653165,480.90619102859023,106.06133333333334,146953.9525580004,45.41514027833747,26096.363655093974,8990.060214269803,996.0,255.0,819.0,30448.63333333333,4068.133333333333,1611.5166666666667,4384.616666666667,1573.6833333333334,6053.1,0.0,0.0,0.495778643994189,1.1417910447761195,5.1022611313194774,0.0,0.0,0.0,1.2444444444444445,183.94661806843575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.51222222222222,157.43333333333334,0.0,0.0,0.0,571.3594444444444,532.4464122565627,4554.716314349363,0.0,0.0,0.0,4435.343899920484
17,275.25,10.28111111111111,379.1747572815534,3.2569230769230764,0.4546282132437891,1.696148702732517,1.7737472414558861,0.70271464061345,649.5450956685257,573.6058620780857,683.8529940030963,451.98480850607496,93.22921914357683,146953.95255800043,48.48128493633751,25762.992895779233,8933.40044422366,996.0,255.0,815.0,29131.566666666666,4134.083333333333,1553.95,4815.316666666667,1057.45,6820.983333333334,0.0,0.0,0.4770276626402581,1.18359375,4.841593031084164,0.0,0.0,0.0,1.2547169811320755,164.7233524333251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.1811111111111,157.43333333333334,0.0,0.0,0.0,546.5858333333333,568.3938454827118,4554.716314349363,0.0,0.0,0.0,4378.684129874324
18,252.0,10.446944444444444,340.80582524271847,2.652966101694913,0.43572117445518815,1.684738742285191,1.770884890257564,0.7440365934967107,593.1655005831246,488.9289154275588,583.975800593506,404.4441756075427,95.69720101781171,146953.95255800043,47.321547628337456,25878.091639020742,8952.96265279309,996.0,255.0,816.0,28710.566666666666,4584.75,1447.95,4178.3,1868.7,6049.3,0.0,0.0,0.4950021886377882,1.2201492537313432,5.10879505865095,0.0,0.0,0.0,1.224820143884892,156.27273563058108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.60055555555556,157.43333333333334,0.0,0.0,0.0,540.9938888888889,554.7971029642428,4554.716314349363,0.0,0.0,0.0,4398.246338443765
19,249.75,10.626944444444444,361.11650485436894,2.397988505747125,0.4162995177234029,1.7028758556624415,1.827012168147836,0.6571571182208117,668.1042265770052,480.5665968293131,568.1543471452069,420.57630740043106,99.88772845953002,146953.95255800043,52.02221080233746,25846.43606564822,8947.58246434569,996.0,255.0,809.0,28481.75,3982.866666666667,1422.3,5507.783333333333,1883.1,6384.65,0.0,0.0,0.4783524986775908,1.11864406779661,5.006004909015861,0.0,0.0,0.0,1.25,154.32813946554705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.7575,157.43333333333334,0.0,0.0,0.0,535.0425,609.9076063532785,4554.716314349363,0.0,0.0,0.0,4392.8661499963655
20,255.0,10.054722222222223,357.6764705882353,3.121540880503144,0.404151806445708,1.5601565807829458,1.71728272172276,0.6620209217988452,735.3395648897139,514.0442429387793,591.4453132012084,463.29271995914445,93.53229974160207,146953.9525580004,49.150553142337415,25990.254966672437,8972.025957461507,996.0,255.0,812.0,30144.0,4284.25,1340.3333333333333,4925.016666666666,2009.0166666666667,5936.366666666667,0.0,0.0,0.4881244153769723,1.1704545454545454,4.9513936915044665,0.0,0.0,0.0,1.234375,178.23900476205975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.73833333333334,157.43333333333334,0.0,0.0,0.0,564.9483333333334,576.2403357266726,4554.716314349363,0.0,0.0,0.0,4417.309643112176
21,238.5,9.456111111111111,374.5,2.7248366013071896,0.37667982233741504,1.581884306483623,1.6853806583352238,0.6152544935407392,600.4700281349118,483.02019449794506,578.7118607700579,402.2402282311994,89.58421052631579,146953.95255800043,51.34207892133745,25584.853317985897,8903.123801081225,996.0,255.0,809.0,28993.9,4190.65,1224.9166666666667,4948.666666666667,1927.6333333333332,6428.016666666666,0.0,0.0,0.4884462779495128,1.13671875,4.79938986898881,0.0,0.0,0.0,1.21875,159.77875732517086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.8961111111111,157.43333333333334,0.0,0.0,0.0,540.9405555555555,601.9337505492374,4554.716314349363,0.0,0.0,0.0,4348.4074867319105
22,225.0,9.5425,359.96938775510205,3.162980769230768,0.3828745292381418,1.5547844404509803,1.7406581897254803,0.5665173829615766,665.5457554664074,488.9103310673154,567.4055020274284,421.9498224113205,93.86065573770492,146953.95255800043,52.5415743913375,25634.299628546323,8911.527707265877,996.0,255.0,813.0,28995.766666666666,3752.95,1291.0333333333333,5290.183333333333,2294.0333333333333,6190.866666666667,0.0,0.0,0.4736786687738317,1.194915254237288,4.916647273494688,0.0,0.0,0.0,1.1884615384615385,159.2860579602735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.3438888888889,157.43333333333334,0.0,0.0,0.0,539.5255555555556,615.9966171528696,4554.716314349363,0.0,0.0,0.0,4356.811392916566
23,223.5,10.40638888888889,353.99,2.8562893081760996,0.37698811491697437,1.6421243780061054,1.604870065899912,0.6499132414296619,713.6949957739469,553.1465030796263,706.5149477369625,466.9277832509598,97.30649350649351,146953.9525580004,51.758363287337446,25555.93741172206,8898.209247078508,996.0,255.0,809.0,29676.4,3858.0,1220.0666666666666,5861.416666666667,1875.0666666666666,5973.9,0.0,0.0,0.4916510589997839,1.1383928571428572,4.737385170736461,0.0,0.0,0.0,1.1833333333333333,169.3910235904871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.94666666666666,157.43333333333334,0.0,0.0,0.0,550.0663888888889,606.8142621098491,4554.716314349363,0.0,0.0,0.0,4343.492932729175
24,235.5,10.545,351.85,3.026999999999999,0.3833992220392235,1.614945098016902,1.6652243059460867,0.7010399617865524,599.8698148013092,490.0852249278649,615.5960903706069,399.0576088946174,98.6025974025974,146953.95255800037,50.43352933633746,25496.65680378398,8888.133901475698,996.0,255.0,811.0,28036.25,3882.1,1262.05,5195.216666666666,1969.0,6071.1,0.0,0.0,0.48620269757644513,1.2,5.147955991689925,0.0,0.0,0.0,1.1452702702702702,146.21027392555564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.65333333333334,157.43333333333334,0.0,0.0,0.0,522.5344444444445,591.2819290657934,4554.716314349363,0.0,0.0,0.0,4333.417587126363
25,216.75,7.747222222222222,329.77894736842103,2.922272727272726,0.39180152854707256,1.6161154312522221,1.7102766934198215,0.6062839484482153,591.0936003523286,515.8477665374955,627.1714658146201,405.4304069270809,76.83195592286502,146953.95255800043,48.69471238533748,26141.90408479755,8997.800276056001,996.0,255.0,822.0,29217.833333333332,3799.15,1336.45,5036.016666666666,1957.1833333333334,5810.766666666666,0.0,0.0,0.49960822901979,1.1105769230769231,4.932175468001884,0.0,0.0,0.0,1.1691176470588236,155.75284799448693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.63416666666666,157.43333333333334,0.0,0.0,0.0,543.5508333333333,570.8960656410258,4554.716314349363,0.0,0.0,0.0,4443.083961706683
26,237.75,10.976111111111111,337.1067961165049,3.0482638888888878,0.3684247061661271,1.5942603408097633,1.5940865561693531,0.6010006732893293,736.7002582893703,529.1835442771119,664.343963054754,474.86229890913796,104.53439153439153,146953.95255800037,55.095260618337505,25181.291775217054,8834.534389521119,996.0,255.0,805.0,30445.083333333332,3508.55,1163.05,5693.55,2541.883333333333,6486.4,0.0,0.0,0.4830403344261336,1.1826923076923077,4.921203968288023,0.0,0.0,0.0,1.1989795918367347,182.55817269173525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.20916666666668,157.43333333333334,0.0,0.0,0.0,556.845,645.9359955465484,4554.716314349363,0.0,0.0,0.0,4279.818075171776
27,249.75,10.9125,337.1326530612245,2.7878968253968246,0.3557261526502368,1.5602504923189233,1.5560679485705105,0.605772623375998,732.898121584647,525.1213316763728,629.5166887392212,467.5335432859158,104.20424403183024,146953.9525580004,52.16559779733746,25721.436493505145,8926.337508645138,996.0,255.0,808.0,30209.916666666668,3931.0833333333335,1034.4333333333334,5092.266666666666,2376.1,6234.633333333333,0.0,0.0,0.5009749766668463,1.1612903225806452,5.054505907252615,0.0,0.0,0.0,1.2010135135135136,171.29909544281193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.26166666666666,157.43333333333334,0.0,0.0,0.0,554.2344444444444,611.5886732966833,4554.716314349363,0.0,0.0,0.0,4371.621194295827
28,236.25,11.1175,326.74528301886795,2.8532520325203263,0.34857400654279114,1.6287934636337182,1.65798660955046,0.5769661204553256,669.2288555788198,585.5636947463496,704.3316378562868,462.6894550218574,105.60158311345647,146953.95255800043,54.876993050337425,25385.255707746503,8869.200145865714,996.0,255.0,801.0,30055.416666666668,3936.95,1060.4333333333334,5053.516666666666,2473.016666666667,6755.633333333333,0.0,0.0,0.48382743477712503,1.1181818181818182,5.373006037514306,0.0,0.0,0.0,1.2135416666666667,173.50854563319652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.45666666666668,157.43333333333334,0.0,0.0,0.0,550.4455555555555,643.3770299068669,4554.7163143493635,0.0,0.0,0.0,4314.483831516407
29,244.5,10.2025,352.25,2.58875,0.3605476925373079,1.504640910028138,1.5076099530650728,0.6816458563491659,737.25826590366,575.76081859268,668.5137538290211,484.9308112081115,95.8981723237598,146953.95255800034,55.61090297133745,25106.10651726927,8821.755885986646,996.0,255.0,803.0,30471.266666666666,3666.516666666667,1056.8,5709.2,2349.2833333333333,6580.733333333334,0.0,0.0,0.4606879297638307,1.1745283018867925,5.50656517917246,0.0,0.0,0.0,1.215,182.9266782279487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.2302777777778,157.43333333333334,0.0,0.0,0.0,559.3583333333333,651.9813786320066,4554.716314349363,0.0,0.0,0.0,4267.039571637327
30,228.75,9.044722222222223,321.9514563106796,2.5144736842105275,0.321934557836382,1.393866337050327,1.526793786772985,0.5547178219576212,655.5996701425724,526.6479952615388,643.70738206062,433.48954328540526,86.14021164021165,146953.9525580004,49.87601088833747,25546.214629046433,8896.556760724452,996.0,255.0,806.0,29760.85,3468.05,930.95,4831.966666666666,2245.3333333333335,6318.45,0.0,0.0,0.4746086779938242,1.1567796610169492,4.964325085710041,0.0,0.0,0.0,1.1715328467153285,166.41181911678612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.79638888888888,157.43333333333334,0.0,0.0,0.0,544.2622222222222,584.7455912809683,4554.716314349363,0.0,0.0,0.0,4341.840446375118
