,PID,Household_ID,Household_num_vehicles,Household_income [$]
308,1101-2012001111261-222426,1101-2012001111261-2,2,14286.0
309,1107-2012000428775-08936,1107-2012000428775-0,2,37814.0
310,1101-2013000095146-131614,1101-2013000095146-1,4,28134.0
311,1101-2013000095146-131518,1101-2013000095146-1,4,28134.0
312,1101-2013000095146-131566,1101-2013000095146-1,4,28134.0
313,900-2015000400656-099195,900-2015000400656-0,4,124789.0
314,900-2015000400656-099230,900-2015000400656-0,4,124789.0
315,900-2015000400656-099265,900-2015000400656-0,4,124789.0
316,10102-2016000928324-0146522,10102-2016000928324-0,2,14446.0
317,10104-2016000970031-0147148,10104-2016000970031-0,3,73039.0
318,10104-2016000970031-0147108,10104-2016000970031-0,3,73039.0
319,1804-2015000134451-093517,1804-2015000134451-0,2,21464.0
320,1106-2014001289991-089038,1106-2014001289991-0,3,8925.0
321,1106-2014001289991-089056,1106-2014001289991-0,3,8925.0
322,1200-2014000901324-179896,1200-2014000901324-1,4,45697.0
323,1200-2014000901324-179758,1200-2014000901324-1,4,45697.0
324,1200-2014000901324-179827,1200-2014000901324-1,4,45697.0
325,700-2015001314717-3121112,700-2015001314717-3,4,131671.0
326,700-2015001314717-3120958,700-2015001314717-3,4,131671.0
327,700-2015001314717-3120804,700-2015001314717-3,4,131671.0
328,1106-2015001258226-2119475,1106-2015001258226-2,2,27010.0
329,10102-2012000584680-111679,10102-2012000584680-1,5,117590.0
330,10102-2012000584680-111716,10102-2012000584680-1,5,117590.0
331,10102-2012000584680-111642,10102-2012000584680-1,5,117590.0
332,10102-2012000584680-111753,10102-2012000584680-1,5,117590.0
333,1600-2012000793579-015213,1600-2012000793579-0,5,18177.0
334,1600-2012000793579-015133,1600-2012000793579-0,5,18177.0
335,1600-2012000793579-015173,1600-2012000793579-0,5,18177.0
336,1600-2012000793579-015253,1600-2012000793579-0,5,18177.0
337,700-2015000578512-0101510,700-2015000578512-0,2,10062.0
338,10104-2014000053367-762053,10104-2014000053367-7,5,54052.0
339,10104-2014000053367-762289,10104-2014000053367-7,5,54052.0
340,10104-2014000053367-761935,10104-2014000053367-7,5,54052.0
341,10104-2014000053367-762171,10104-2014000053367-7,5,54052.0
342,1107-2016000594701-0138620,1107-2016000594701-0,2,17163.0
343,1803-2016000829228-0144495,1803-2016000829228-0,5,28221.0
344,1803-2016000829228-0144528,1803-2016000829228-0,5,28221.0
345,1803-2016000829228-0144517,1803-2016000829228-0,5,28221.0
346,1803-2016000829228-0144506,1803-2016000829228-0,5,28221.0
347,1803-2016000829228-0144484,1803-2016000829228-0,5,28221.0
348,401-2013001488063-060641,401-2013001488063-0,3,14248.0
349,401-2013001488063-060567,401-2013001488063-0,3,14248.0
350,1106-2015000794086-1107313,1106-2015000794086-1,5,143179.0
351,1106-2015000794086-1107387,1106-2015000794086-1,5,143179.0
352,1106-2015000794086-1107350,1106-2015000794086-1,5,143179.0
353,1106-2015000794086-1107424,1106-2015000794086-1,5,143179.0
354,10104-2014000145629-164693,10104-2014000145629-1,4,63639.0
355,10104-2014000145629-164605,10104-2014000145629-1,4,63639.0
356,10104-2014000145629-164649,10104-2014000145629-1,4,63639.0
357,10405-2013001154369-054214,10405-2013001154369-0,5,20413.0
358,10405-2013001154369-054294,10405-2013001154369-0,5,20413.0
359,10405-2013001154369-054334,10405-2013001154369-0,5,20413.0
360,10405-2013001154369-054254,10405-2013001154369-0,5,20413.0
361,10104-2016000754575-2142557,10104-2016000754575-2,2,18356.0
362,10102-2014000952689-180702,10102-2014000952689-1,2,2792.0
363,1700-2013001282756-057105,1700-2013001282756-0,4,3055.0
364,1700-2013001282756-057153,1700-2013001282756-0,4,3055.0
365,1700-2013001282756-057057,1700-2013001282756-0,4,3055.0
366,406-2015000301668-096935,406-2015000301668-0,4,24759.0
367,406-2015000301668-096979,406-2015000301668-0,4,24759.0
368,406-2015000301668-097023,406-2015000301668-0,4,24759.0
369,10600-2012000434138-09123,10600-2012000434138-0,3,91048.0
370,10600-2012000434138-09085,10600-2012000434138-0,3,91048.0
371,600-2016000970031-0147160,600-2016000970031-0,3,58623.0
372,600-2016000970031-0147120,600-2016000970031-0,3,58623.0
373,1803-2014000775952-076805,1803-2014000775952-0,2,19010.0
374,900-2013000467485-041404,900-2013000467485-0,3,32647.0
375,900-2013000467485-041361,900-2013000467485-0,3,32647.0
376,700-2013001346490-057994,700-2013001346490-0,2,15540.0
377,10600-2016000471934-0135780,10600-2016000471934-0,3,126960.0
378,10600-2016000471934-0135754,10600-2016000471934-0,3,126960.0
379,1700-2012000722042-014361,1700-2012000722042-0,2,36342.0
380,401-2012000142774-02681,401-2012000142774-0,5,94655.0
381,401-2012000142774-02615,401-2012000142774-0,5,94655.0
382,401-2012000142774-02714,401-2012000142774-0,5,94655.0
383,401-2012000142774-02648,401-2012000142774-0,5,94655.0
384,10102-2012001287756-125050,10102-2012001287756-1,3,75801.0
385,10102-2012001287756-125010,10102-2012001287756-1,3,75801.0
386,1804-2013000524855-042512,1804-2013000524855-0,2,3609.0
387,10103-2014000047931-161833,10103-2014000047931-1,5,133030.0
388,10103-2014000047931-161701,10103-2014000047931-1,5,133030.0
389,10103-2014000047931-161877,10103-2014000047931-1,5,133030.0
390,10103-2014000047931-161745,10103-2014000047931-1,5,133030.0
391,10103-2014000047931-161789,10103-2014000047931-1,5,133030.0
392,700-2014001004621-182294,700-2014001004621-1,3,75590.0
393,700-2014001004621-182170,700-2014001004621-1,3,75590.0
394,1101-2013000784714-047997,1101-2013000784714-0,3,18928.0
395,1101-2013000784714-048035,1101-2013000784714-0,3,18928.0
396,1803-2016001332705-1153909,1803-2016001332705-1,2,3129.0
397,408-2012001464904-029269,408-2012001464904-0,5,139478.0
398,408-2012001464904-029226,408-2012001464904-0,5,139478.0
399,408-2012001464904-029183,408-2012001464904-0,5,139478.0
400,408-2012001464904-029140,408-2012001464904-0,5,139478.0
401,408-2016000295788-0131860,408-2016000295788-0,5,93957.0
402,408-2016000295788-0131891,408-2016000295788-0,5,93957.0
403,408-2016000295788-0131829,408-2016000295788-0,5,93957.0
404,408-2016000295788-0131798,408-2016000295788-0,5,93957.0
405,408-2016000295788-0131922,408-2016000295788-0,5,93957.0
406,1101-2016001232073-0152354,1101-2016001232073-0,4,117660.0
407,1101-2016001232073-0152284,1101-2016001232073-0,4,117660.0
408,1101-2016001232073-0152319,1101-2016001232073-0,4,117660.0
409,1801-2016001452430-1156086,1801-2016001452430-1,2,8968.0
410,1106-2016001232073-1152322,1106-2016001232073-1,4,59136.0
411,1106-2016001232073-1152287,1106-2016001232073-1,4,59136.0
412,1106-2016001232073-1152357,1106-2016001232073-1,4,59136.0
413,10102-2013000576300-043895,10102-2013000576300-0,5,70031.0
414,10102-2013000576300-043908,10102-2013000576300-0,5,70031.0
415,10102-2013000576300-043934,10102-2013000576300-0,5,70031.0
416,10102-2013000576300-043947,10102-2013000576300-0,5,70031.0
417,10102-2013000576300-043921,10102-2013000576300-0,5,70031.0
418,1200-2014000813815-077489,1200-2014000813815-0,3,26858.0
419,1200-2014000813815-077413,1200-2014000813815-0,3,26858.0
420,700-2014001281447-088718,700-2014001281447-0,3,117742.0
421,700-2014001281447-088749,700-2014001281447-0,3,117742.0
422,1801-2013000198198-034502,1801-2013000198198-0,3,128253.0
423,1801-2013000198198-034459,1801-2013000198198-0,3,128253.0
424,300-2014000126757-064477,300-2014000126757-0,4,83611.0
425,300-2014000126757-064525,300-2014000126757-0,4,83611.0
426,300-2014000126757-064501,300-2014000126757-0,4,83611.0
427,500-2016000039403-0125560,500-2016000039403-0,3,103257.0
428,500-2016000039403-0125517,500-2016000039403-0,3,103257.0
429,1108-2013001356508-058359,1108-2013001356508-0,3,149646.0
430,1108-2013001356508-058326,1108-2013001356508-0,3,149646.0
431,1002-2013001457521-059928,1002-2013001457521-0,2,1113.0
432,300-2015000727153-1105514,300-2015000727153-1,3,2551.0
433,300-2015000727153-1105588,300-2015000727153-1,3,2551.0
434,1902-2014001353874-089868,1902-2014001353874-0,3,9174.0
435,1902-2014001353874-089896,1902-2014001353874-0,3,9174.0
436,1106-2013001192909-055226,1106-2013001192909-0,3,126826.0
437,1106-2013001192909-055171,1106-2013001192909-0,3,126826.0
438,10104-2015000645635-5103732,10104-2015000645635-5,2,9178.0
