,PID,Activity_ID,Activity_Type,Start_time,End_time
25,100-2012000131467-02470,100-2012000131467-02470_a-2,Secondary,11:55:47,13:30:36
26,100-2012000131467-02470,100-2012000131467-02470_a-3,Home,14:15:05,
27,100-2012000131467-02513,100-2012000131467-02513_a-1,Home,,09:36:35
28,100-2012000131467-02513,100-2012000131467-02513_a-2,Secondary,09:48:53,13:46:55
29,100-2012000131467-02513,100-2012000131467-02513_a-3,Home,13:59:05,
30,100-2012000184824-03590,100-2012000184824-03590_a-1,Home,,09:27:23
31,100-2012000184824-03590,100-2012000184824-03590_a-2,Work,09:41:04,21:36:31
32,100-2012000184824-03590,100-2012000184824-03590_a-3,Home,21:44:59,
33,100-2012000217991-04272,100-2012000217991-04272_a-1,Home,,08:32:08
34,100-2012000217991-04272,100-2012000217991-04272_a-2,Work,08:32:18,19:13:05
35,100-2012000217991-04272,100-2012000217991-04272_a-3,Home,19:13:15,
36,100-2012000217991-04316,100-2012000217991-04316_a-1,Home,,09:00:37
37,100-2012000217991-04316,100-2012000217991-04316_a-2,Work,09:12:57,20:33:03
38,100-2012000217991-04316,100-2012000217991-04316_a-3,Home,20:46:21,
39,100-2012000217991-04360,100-2012000217991-04360_a-1,Home,,17:40:54
40,100-2012000217991-04360,100-2012000217991-04360_a-2,Secondary,18:00:25,20:37:25
41,100-2012000217991-04360,100-2012000217991-04360_a-3,Home,20:54:58,
42,100-2012000217991-04404,100-2012000217991-04404_a-1,Home,,09:45:15
43,100-2012000217991-04404,100-2012000217991-04404_a-2,Secondary,09:47:30,13:46:22
44,100-2012000217991-04404,100-2012000217991-04404_a-3,Home,13:47:09,
45,100-2012000217991-04448,100-2012000217991-04448_a-1,Home,,09:18:54
46,100-2012000217991-04448,100-2012000217991-04448_a-2,Secondary,09:21:09,12:25:10
47,100-2012000217991-04448,100-2012000217991-04448_a-3,Home,12:25:57,
48,100-2012000281261-05854,100-2012000281261-05854_a-1,Home,,11:05:28
49,100-2012000281261-05854,100-2012000281261-05854_a-2,Secondary,11:20:03,14:22:53
50,100-2012000281261-05854,100-2012000281261-05854_a-3,Home,14:37:06,
51,100-2012000325210-06178,100-2012000325210-06178_a-1,Home,,14:13:40
52,100-2012000325210-06178,100-2012000325210-06178_a-2,Secondary,14:30:21,17:25:38
53,100-2012000325210-06178,100-2012000325210-06178_a-3,Home,17:46:31,
54,100-2012000325210-06216,100-2012000325210-06216_a-1,Home,,09:45:40
55,100-2012000325210-06216,100-2012000325210-06216_a-2,Secondary,10:01:26,12:51:30
56,100-2012000325210-06216,100-2012000325210-06216_a-3,Home,13:04:03,
57,100-2012000353261-16791,100-2012000353261-16791_a-1,Home,,10:48:36
58,100-2012000353261-16791,100-2012000353261-16791_a-2,Secondary,11:02:18,13:41:32
59,100-2012000353261-16791,100-2012000353261-16791_a-3,Home,13:56:18,
60,100-2012000353261-16930,100-2012000353261-16930_a-1,Home,,09:43:09
61,100-2012000353261-16930,100-2012000353261-16930_a-2,Secondary,10:16:45,12:32:01
62,100-2012000353261-16930,100-2012000353261-16930_a-3,Home,12:42:23,
63,100-2012000353261-17069,100-2012000353261-17069_a-1,Home,,09:00:06
64,100-2012000353261-17069,100-2012000353261-17069_a-2,Work,09:10:45,19:13:42
65,100-2012000353261-17069,100-2012000353261-17069_a-3,Home,19:22:41,
66,100-2012000372616-07355,100-2012000372616-07355_a-1,Home,,08:27:50
67,100-2012000372616-07355,100-2012000372616-07355_a-2,Work,08:37:37,18:43:41
68,100-2012000372616-07355,100-2012000372616-07355_a-3,Home,18:49:56,
69,100-2012000372616-07386,100-2012000372616-07386_a-1,Home,,18:48:02
70,100-2012000372616-07386,100-2012000372616-07386_a-2,Secondary,18:54:15,23:25:31
71,100-2012000372616-07386,100-2012000372616-07386_a-3,Home,23:31:43,
72,100-2012000372616-07417,100-2012000372616-07417_a-1,Home,,17:36:39
73,100-2012000372616-07417,100-2012000372616-07417_a-2,Secondary,17:43:59,22:48:27
74,100-2012000372616-07417,100-2012000372616-07417_a-3,Home,22:56:13,
75,100-2012000372616-07448,100-2012000372616-07448_a-1,Home,,18:06:13
76,100-2012000372616-07448,100-2012000372616-07448_a-2,Secondary,18:37:07,21:12:41
77,100-2012000372616-07448,100-2012000372616-07448_a-3,Home,21:45:24,
78,100-2012000377937-07484,100-2012000377937-07484_a-1,Home,,08:04:30
79,100-2012000377937-07484,100-2012000377937-07484_a-2,Work,08:15:36,18:11:03
80,100-2012000377937-07484,100-2012000377937-07484_a-3,Home,18:30:18,
81,100-2012000420927-08766,100-2012000420927-08766_a-1,Home,,11:42:19
82,100-2012000420927-08766,100-2012000420927-08766_a-2,Secondary,12:02:30,15:04:50
83,100-2012000420927-08766,100-2012000420927-08766_a-3,Home,15:24:21,
84,100-2012000420927-08807,100-2012000420927-08807_a-1,Home,,08:48:05
85,100-2012000420927-08807,100-2012000420927-08807_a-2,Work,09:11:04,19:49:32
86,100-2012000420927-08807,100-2012000420927-08807_a-3,Home,19:57:04,
87,100-2012000420927-08848,100-2012000420927-08848_a-1,Home,,08:44:58
88,100-2012000420927-08848,100-2012000420927-08848_a-2,Work,08:48:37,20:17:32
89,100-2012000420927-08848,100-2012000420927-08848_a-3,Home,20:26:02,
90,100-2012000539363-010502,100-2012000539363-010502_a-1,Home,,08:37:12
91,100-2012000539363-010502,100-2012000539363-010502_a-2,Work,08:43:18,18:39:50
92,100-2012000539363-010502,100-2012000539363-010502_a-3,Home,18:47:24,
93,100-2012000539363-010545,100-2012000539363-010545_a-1,Home,,10:18:05
94,100-2012000539363-010545,100-2012000539363-010545_a-2,Secondary,10:27:21,13:50:35
95,100-2012000539363-010545,100-2012000539363-010545_a-3,Home,13:59:21,
96,100-2012000559396-010896,100-2012000559396-010896_a-1,Home,,17:29:19
97,100-2012000559396-010896,100-2012000559396-010896_a-2,Secondary,17:52:31,21:03:41
98,100-2012000559396-010896,100-2012000559396-010896_a-3,Home,22:16:43,
99,100-2012000559396-010949,100-2012000559396-010949_a-1,Home,,07:52:03
100,100-2012000559396-010949,100-2012000559396-010949_a-2,Work,08:06:08,16:59:12
101,100-2012000559396-010949,100-2012000559396-010949_a-3,Home,17:15:10,
102,100-2012000559396-011002,100-2012000559396-011002_a-1,Home,,14:57:05
103,100-2012000559396-011002,100-2012000559396-011002_a-2,Secondary,15:12:28,17:36:14
104,100-2012000559396-011002,100-2012000559396-011002_a-3,Home,17:52:28,
105,100-2012000559396-011055,100-2012000559396-011055_a-1,Home,,09:59:29
106,100-2012000559396-011055,100-2012000559396-011055_a-2,Secondary,10:07:55,13:27:37
107,100-2012000559396-011055,100-2012000559396-011055_a-3,Home,13:38:17,
108,100-2012000559396-011108,100-2012000559396-011108_a-1,Home,,18:06:00
109,100-2012000559396-011108,100-2012000559396-011108_a-2,Secondary,18:37:53,21:36:52
110,100-2012000559396-011108,100-2012000559396-011108_a-3,Home,22:09:47,
111,100-2012000559396-011161,100-2012000559396-011161_a-1,Home,,14:34:04
112,100-2012000559396-011161,100-2012000559396-011161_a-2,Secondary,14:52:14,17:11:59
113,100-2012000559396-011161,100-2012000559396-011161_a-3,Home,17:29:43,
114,100-2012000559396-011214,100-2012000559396-011214_a-1,Home,,14:23:19
115,100-2012000559396-011214,100-2012000559396-011214_a-2,Secondary,14:31:16,17:07:24
116,100-2012000559396-011214,100-2012000559396-011214_a-3,Home,17:17:17,
117,100-2012000559396-011267,100-2012000559396-011267_a-1,Home,,14:34:34
118,100-2012000559396-011267,100-2012000559396-011267_a-2,Secondary,15:04:56,17:13:05
119,100-2012000559396-011267,100-2012000559396-011267_a-3,Home,17:48:30,
120,100-2012000559396-011320,100-2012000559396-011320_a-1,Home,,14:34:34
121,100-2012000559396-011320,100-2012000559396-011320_a-2,Secondary,15:04:56,17:13:05
122,100-2012000559396-011320,100-2012000559396-011320_a-3,Home,18:10:05,
123,100-2012000672671-013595,100-2012000672671-013595_a-1,Home,,11:33:20
124,100-2012000672671-013595,100-2012000672671-013595_a-2,Secondary,11:55:34,15:56:53
125,100-2012000672671-013595,100-2012000672671-013595_a-3,Home,16:13:53,
126,100-2012000672671-013626,100-2012000672671-013626_a-1,Home,,09:59:29
127,100-2012000672671-013626,100-2012000672671-013626_a-2,Work,10:11:18,22:13:01
128,100-2012000672671-013626,100-2012000672671-013626_a-3,Home,22:25:44,
129,100-2012000672671-013657,100-2012000672671-013657_a-1,Home,,08:36:31
130,100-2012000672671-013657,100-2012000672671-013657_a-2,Work,09:05:51,18:56:36
131,100-2012000672671-013657,100-2012000672671-013657_a-3,Home,19:16:17,
132,100-2012000672671-013688,100-2012000672671-013688_a-1,Home,,10:54:51
133,100-2012000672671-013688,100-2012000672671-013688_a-2,Secondary,11:50:47,14:31:02
134,100-2012000672671-013688,100-2012000672671-013688_a-3,Home,14:57:01,
135,100-2012000711495-013915,100-2012000711495-013915_a-1,Home,,07:54:13
136,100-2012000711495-013915,100-2012000711495-013915_a-2,Work,07:59:59,17:58:44
137,100-2012000711495-013915,100-2012000711495-013915_a-3,Home,18:04:30,
138,100-2012000711495-013946,100-2012000711495-013946_a-1,Home,,08:34:16
139,100-2012000711495-013946,100-2012000711495-013946_a-2,Work,08:41:01,19:15:40
140,100-2012000711495-013946,100-2012000711495-013946_a-3,Home,19:23:31,
141,100-2012000711495-013977,100-2012000711495-013977_a-1,Home,,15:20:31
142,100-2012000711495-013977,100-2012000711495-013977_a-2,Secondary,15:29:45,18:55:22
143,100-2012000711495-013977,100-2012000711495-013977_a-3,Home,19:07:49,
144,100-2012000711495-014008,100-2012000711495-014008_a-1,Home,,15:38:25
145,100-2012000711495-014008,100-2012000711495-014008_a-2,Secondary,15:53:15,17:28:05
146,100-2012000711495-014008,100-2012000711495-014008_a-3,Home,17:40:58,
147,100-2012000752641-214889,100-2012000752641-214889_a-1,Home,,09:18:11
148,100-2012000752641-214889,100-2012000752641-214889_a-2,Work,09:31:10,21:27:11
149,100-2012000752641-214889,100-2012000752641-214889_a-3,Home,21:40:30,
150,100-2012000804271-015377,100-2012000804271-015377_a-1,Home,,11:23:17
151,100-2012000804271-015377,100-2012000804271-015377_a-2,Secondary,11:41:42,14:49:08
152,100-2012000804271-015377,100-2012000804271-015377_a-3,Home,15:09:34,
153,100-2012000804271-015442,100-2012000804271-015442_a-1,Home,,08:23:14
154,100-2012000804271-015442,100-2012000804271-015442_a-2,Work,08:38:54,18:39:54
155,100-2012000804271-015442,100-2012000804271-015442_a-3,Home,18:59:15,
156,100-2012000804271-015507,100-2012000804271-015507_a-1,Home,,10:38:07
157,100-2012000804271-015507,100-2012000804271-015507_a-2,Secondary,10:38:07,16:03:37
158,100-2012000804271-015507,100-2012000804271-015507_a-3,Home,16:03:37,
159,100-2012000840641-016956,100-2012000840641-016956_a-1,Home,,08:22:04
160,100-2012000840641-016956,100-2012000840641-016956_a-2,Work,08:37:00,19:05:11
161,100-2012000840641-016956,100-2012000840641-016956_a-3,Home,19:26:50,
162,100-2012000903731-018296,100-2012000903731-018296_a-1,Home,,08:58:00
163,100-2012000903731-018296,100-2012000903731-018296_a-2,Work,09:11:25,19:03:33
164,100-2012000903731-018296,100-2012000903731-018296_a-3,Home,19:17:17,
165,100-2012000903731-018336,100-2012000903731-018336_a-1,Home,,11:06:59
166,100-2012000903731-018336,100-2012000903731-018336_a-2,Secondary,11:28:23,14:35:41
167,100-2012000903731-018336,100-2012000903731-018336_a-3,Home,14:52:20,
168,100-2012000923823-018417,100-2012000923823-018417_a-1,Home,,08:48:00
169,100-2012000923823-018417,100-2012000923823-018417_a-2,Work,09:02:27,18:53:38
170,100-2012000923823-018417,100-2012000923823-018417_a-3,Home,19:08:21,
171,100-2012000923823-018465,100-2012000923823-018465_a-1,Home,,08:39:06
172,100-2012000923823-018465,100-2012000923823-018465_a-2,Work,08:52:17,18:54:07
173,100-2012000923823-018465,100-2012000923823-018465_a-3,Home,19:10:05,
174,100-2012000923823-018513,100-2012000923823-018513_a-1,Home,,10:45:25
175,100-2012000923823-018513,100-2012000923823-018513_a-2,Secondary,11:03:57,12:56:22
176,100-2012000923823-018513,100-2012000923823-018513_a-3,Home,13:16:52,
177,100-2012000923823-018561,100-2012000923823-018561_a-1,Home,,16:29:33
178,100-2012000923823-018561,100-2012000923823-018561_a-2,Secondary,16:47:43,18:37:00
179,100-2012000923823-018561,100-2012000923823-018561_a-3,Home,19:47:30,
180,100-2012001111971-022494,100-2012001111971-022494_a-1,Home,,08:34:33
181,100-2012001111971-022494,100-2012001111971-022494_a-2,Work,08:47:25,18:46:26
182,100-2012001111971-022494,100-2012001111971-022494_a-3,Home,18:59:16,
183,100-2012001118760-022601,100-2012001118760-022601_a-1,Home,,08:07:55
184,100-2012001118760-022601,100-2012001118760-022601_a-2,Work,08:21:22,17:50:39
185,100-2012001118760-022601,100-2012001118760-022601_a-3,Home,18:04:26,
186,100-2012001118760-022668,100-2012001118760-022668_a-1,Home,,09:44:53
187,100-2012001118760-022668,100-2012001118760-022668_a-2,Secondary,09:56:39,12:11:57
188,100-2012001118760-022668,100-2012001118760-022668_a-3,Home,12:25:21,
189,100-2012001118760-022735,100-2012001118760-022735_a-1,Home,,17:42:12
190,100-2012001118760-022735,100-2012001118760-022735_a-2,Secondary,18:15:13,20:48:09
191,100-2012001118760-022735,100-2012001118760-022735_a-3,Home,21:44:35,
192,100-2012001254838-124510,100-2012001254838-124510_a-1,Home,,10:29:22
193,100-2012001254838-124510,100-2012001254838-124510_a-2,Secondary,10:47:03,13:35:28
194,100-2012001254838-124510,100-2012001254838-124510_a-3,Home,13:54:51,
195,100-2012001254838-124605,100-2012001254838-124605_a-1,Home,,09:50:42
196,100-2012001254838-124605,100-2012001254838-124605_a-2,Work,10:02:45,21:45:57
197,100-2012001254838-124605,100-2012001254838-124605_a-3,Home,21:59:14,
198,100-2012001254838-124700,100-2012001254838-124700_a-1,Home,,12:08:28
199,100-2012001254838-124700,100-2012001254838-124700_a-2,Secondary,12:26:06,17:45:09
200,100-2012001254838-124700,100-2012001254838-124700_a-3,Home,18:02:36,
201,100-2012001254838-124795,100-2012001254838-124795_a-1,Home,,09:50:37
202,100-2012001254838-124795,100-2012001254838-124795_a-2,Secondary,10:03:50,14:55:37
203,100-2012001254838-124795,100-2012001254838-124795_a-3,Home,15:08:36,
204,100-2012001254838-124890,100-2012001254838-124890_a-1,Home,,10:58:12
205,100-2012001254838-124890,100-2012001254838-124890_a-2,Secondary,11:15:50,14:08:37
206,100-2012001254838-124890,100-2012001254838-124890_a-3,Home,14:27:30,
207,100-2012001304643-025169,100-2012001304643-025169_a-1,Home,,11:24:33
208,100-2012001304643-025169,100-2012001304643-025169_a-2,Secondary,11:47:30,15:29:49
209,100-2012001304643-025169,100-2012001304643-025169_a-3,Home,15:46:37,
210,100-2012001304643-025213,100-2012001304643-025213_a-1,Home,,08:58:00
211,100-2012001304643-025213,100-2012001304643-025213_a-2,Work,09:10:24,19:03:33
212,100-2012001304643-025213,100-2012001304643-025213_a-3,Home,19:16:16,
213,100-2012001304643-025257,100-2012001304643-025257_a-1,Home,,10:13:44
214,100-2012001304643-025257,100-2012001304643-025257_a-2,Secondary,10:51:59,12:50:00
215,100-2012001304643-025257,100-2012001304643-025257_a-3,Home,15:12:57,
216,100-2012001315564-025552,100-2012001315564-025552_a-1,Home,,13:33:12
217,100-2012001315564-025552,100-2012001315564-025552_a-2,Secondary,13:43:59,16:13:57
218,100-2012001315564-025552,100-2012001315564-025552_a-3,Home,16:25:57,
219,100-2012001357312-026552,100-2012001357312-026552_a-1,Home,,15:12:04
220,100-2012001357312-026552,100-2012001357312-026552_a-2,Secondary,15:27:06,17:46:57
221,100-2012001357312-026552,100-2012001357312-026552_a-3,Home,18:01:59,
222,100-2012001357312-026611,100-2012001357312-026611_a-1,Home,,13:40:38
223,100-2012001357312-026611,100-2012001357312-026611_a-2,Secondary,14:07:50,16:13:10
224,100-2012001357312-026611,100-2012001357312-026611_a-3,Home,16:35:06,
225,100-2012001357312-026670,100-2012001357312-026670_a-1,Home,,09:12:54
226,100-2012001357312-026670,100-2012001357312-026670_a-2,Secondary,09:29:00,11:39:01
227,100-2012001357312-026670,100-2012001357312-026670_a-3,Home,12:15:06,
228,100-2012001357312-026729,100-2012001357312-026729_a-1,Home,,09:12:23
229,100-2012001357312-026729,100-2012001357312-026729_a-2,Work,09:29:51,19:30:11
230,100-2012001357312-026729,100-2012001357312-026729_a-3,Home,19:46:47,
231,100-2012001365754-026872,100-2012001365754-026872_a-1,Home,,09:34:10
232,100-2012001365754-026872,100-2012001365754-026872_a-2,Work,09:51:19,20:15:12
233,100-2012001365754-026872,100-2012001365754-026872_a-3,Home,20:34:28,
234,100-2012001365754-026961,100-2012001365754-026961_a-1,Home,,16:11:47
235,100-2012001365754-026961,100-2012001365754-026961_a-2,Secondary,16:23:56,19:29:10
236,100-2012001365754-026961,100-2012001365754-026961_a-3,Home,19:47:06,
237,100-2013000035041-029919,100-2013000035041-029919_a-1,Home,,09:29:11
238,100-2013000035041-029919,100-2013000035041-029919_a-2,Work,09:37:56,20:42:16
239,100-2013000035041-029919,100-2013000035041-029919_a-3,Home,21:12:51,
240,100-2013000035041-029978,100-2013000035041-029978_a-1,Home,,08:30:51
241,100-2013000035041-029978,100-2013000035041-029978_a-2,Work,08:43:59,19:32:15
242,100-2013000035041-029978,100-2013000035041-029978_a-3,Home,20:04:01,
243,100-2013000035041-030037,100-2013000035041-030037_a-1,Home,,09:34:27
244,100-2013000035041-030037,100-2013000035041-030037_a-2,Work,09:42:49,21:31:34
245,100-2013000035041-030037,100-2013000035041-030037_a-3,Home,22:01:54,
246,100-2013000035041-030096,100-2013000035041-030096_a-1,Home,,10:33:50
247,100-2013000035041-030096,100-2013000035041-030096_a-2,Secondary,11:06:59,14:52:30
248,100-2013000035041-030096,100-2013000035041-030096_a-3,Home,15:02:59,
249,100-2013000113035-032226,100-2013000113035-032226_a-1,Home,,10:00:31
250,100-2013000113035-032226,100-2013000113035-032226_a-2,Work,10:17:15,21:36:24
251,100-2013000113035-032226,100-2013000113035-032226_a-3,Home,21:53:55,
252,100-2013000113035-032264,100-2013000113035-032264_a-1,Home,,16:11:47
253,100-2013000113035-032264,100-2013000113035-032264_a-2,Secondary,16:23:56,19:29:10
254,100-2013000113035-032264,100-2013000113035-032264_a-3,Home,19:47:06,
255,100-2013000168908-133204,100-2013000168908-133204_a-1,Home,,10:56:58
256,100-2013000168908-133204,100-2013000168908-133204_a-2,Secondary,11:05:58,14:12:10
257,100-2013000168908-133204,100-2013000168908-133204_a-3,Home,14:22:24,
258,100-2013000168908-133317,100-2013000168908-133317_a-1,Home,,09:49:21
259,100-2013000168908-133317,100-2013000168908-133317_a-2,Secondary,10:01:59,14:02:48
260,100-2013000168908-133317,100-2013000168908-133317_a-3,Home,14:15:26,
261,100-2013000341290-037551,100-2013000341290-037551_a-1,Home,,09:09:24
262,100-2013000341290-037551,100-2013000341290-037551_a-2,Work,09:16:55,21:03:56
263,100-2013000341290-037551,100-2013000341290-037551_a-3,Home,21:12:53,
264,100-2013000341290-037585,100-2013000341290-037585_a-1,Home,,15:55:02
265,100-2013000341290-037585,100-2013000341290-037585_a-2,Secondary,16:07:12,18:21:27
266,100-2013000341290-037585,100-2013000341290-037585_a-3,Home,18:33:18,
267,100-2013000341290-037619,100-2013000341290-037619_a-1,Home,,14:37:37
268,100-2013000341290-037619,100-2013000341290-037619_a-2,Secondary,15:13:08,16:54:13
269,100-2013000341290-037619,100-2013000341290-037619_a-3,Home,18:18:26,
270,100-2013000376438-038568,100-2013000376438-038568_a-1,Home,,08:23:35
271,100-2013000376438-038568,100-2013000376438-038568_a-2,Work,08:28:08,19:04:41
272,100-2013000376438-038568,100-2013000376438-038568_a-3,Home,19:21:02,
273,100-2013000376438-038608,100-2013000376438-038608_a-1,Home,,09:29:11
274,100-2013000376438-038608,100-2013000376438-038608_a-2,Work,09:37:33,20:42:16
275,100-2013000376438-038608,100-2013000376438-038608_a-3,Home,21:12:51,
276,100-2013000376438-038648,100-2013000376438-038648_a-1,Home,,08:04:30
277,100-2013000376438-038648,100-2013000376438-038648_a-2,Work,08:15:36,18:11:03
278,100-2013000376438-038648,100-2013000376438-038648_a-3,Home,18:30:18,
279,100-2013000479091-041474,100-2013000479091-041474_a-1,Home,,08:04:30
280,100-2013000479091-041474,100-2013000479091-041474_a-2,Work,08:16:37,18:11:03
281,100-2013000479091-041474,100-2013000479091-041474_a-3,Home,18:23:57,
282,100-2013000520267-042279,100-2013000520267-042279_a-1,Home,,18:29:42
283,100-2013000520267-042279,100-2013000520267-042279_a-2,Secondary,18:35:58,21:46:24
284,100-2013000520267-042279,100-2013000520267-042279_a-3,Home,21:52:36,
285,100-2013000520267-042324,100-2013000520267-042324_a-1,Home,,09:09:40
286,100-2013000520267-042324,100-2013000520267-042324_a-2,Secondary,09:58:38,10:56:53
287,100-2013000520267-042324,100-2013000520267-042324_a-3,Home,12:06:56,
288,100-2013000520267-042369,100-2013000520267-042369_a-1,Home,,08:22:24
289,100-2013000520267-042369,100-2013000520267-042369_a-2,Work,08:25:27,19:15:24
290,100-2013000520267-042369,100-2013000520267-042369_a-3,Home,19:18:26,
291,100-2013000668727-046143,100-2013000668727-046143_a-1,Home,,09:18:33
292,100-2013000668727-046143,100-2013000668727-046143_a-2,Work,09:33:25,21:31:05
293,100-2013000668727-046143,100-2013000668727-046143_a-3,Home,21:43:17,
294,100-2013000668727-046268,100-2013000668727-046268_a-1,Home,,12:11:52
295,100-2013000668727-046268,100-2013000668727-046268_a-2,Secondary,12:18:21,15:22:15
296,100-2013000668727-046268,100-2013000668727-046268_a-3,Home,15:27:23,
297,100-2013000668727-046393,100-2013000668727-046393_a-1,Home,,10:57:48
298,100-2013000668727-046393,100-2013000668727-046393_a-2,Secondary,11:02:42,12:55:48
299,100-2013000668727-046393,100-2013000668727-046393_a-3,Home,13:02:38,
300,100-2013000676049-046574,100-2013000676049-046574_a-1,Home,,09:22:21
301,100-2013000676049-046574,100-2013000676049-046574_a-2,Work,09:33:46,21:01:32
302,100-2013000676049-046574,100-2013000676049-046574_a-3,Home,21:09:04,
303,100-2013000676049-046607,100-2013000676049-046607_a-1,Home,,17:01:22
304,100-2013000676049-046607,100-2013000676049-046607_a-2,Secondary,17:07:50,20:59:12
305,100-2013000676049-046607,100-2013000676049-046607_a-3,Home,21:06:17,
306,100-2013000871283-049251,100-2013000871283-049251_a-1,Home,,09:20:31
307,100-2013000871283-049251,100-2013000871283-049251_a-2,Work,09:31:26,20:11:50
308,100-2013000871283-049251,100-2013000871283-049251_a-3,Home,20:21:30,
309,100-2013000871283-049285,100-2013000871283-049285_a-1,Home,,08:41:40
310,100-2013000871283-049285,100-2013000871283-049285_a-2,Work,08:56:10,18:46:03
311,100-2013000871283-049285,100-2013000871283-049285_a-3,Home,19:00:55,
312,100-2013001005169-051483,100-2013001005169-051483_a-1,Home,,09:02:10
313,100-2013001005169-051483,100-2013001005169-051483_a-2,Work,09:11:54,21:08:14
314,100-2013001005169-051483,100-2013001005169-051483_a-3,Home,21:17:53,
315,100-2013001005169-051515,100-2013001005169-051515_a-1,Home,,10:45:34
316,100-2013001005169-051515,100-2013001005169-051515_a-2,Secondary,11:05:50,13:32:26
317,100-2013001005169-051515,100-2013001005169-051515_a-3,Home,14:18:19,
318,100-2013001005169-051547,100-2013001005169-051547_a-1,Home,,10:06:39
319,100-2013001005169-051547,100-2013001005169-051547_a-2,Secondary,10:15:43,13:12:23
320,100-2013001005169-051547,100-2013001005169-051547_a-3,Home,13:21:27,
321,100-2013001005169-051579,100-2013001005169-051579_a-1,Home,,16:21:23
322,100-2013001005169-051579,100-2013001005169-051579_a-2,Secondary,16:33:33,19:42:39
323,100-2013001005169-051579,100-2013001005169-051579_a-3,Home,19:54:30,
324,100-2013001153397-054101,100-2013001153397-054101_a-1,Home,,08:13:17
325,100-2013001153397-054101,100-2013001153397-054101_a-2,Work,08:28:19,18:38:07
326,100-2013001153397-054101,100-2013001153397-054101_a-3,Home,19:01:15,
327,100-2013001153397-054141,100-2013001153397-054141_a-1,Home,,09:11:37
328,100-2013001153397-054141,100-2013001153397-054141_a-2,Work,09:21:11,19:48:08
329,100-2013001153397-054141,100-2013001153397-054141_a-3,Home,20:16:53,
330,100-2013001206907-055800,100-2013001206907-055800_a-1,Home,,16:05:32
331,100-2013001206907-055800,100-2013001206907-055800_a-2,Secondary,16:10:09,19:41:39
332,100-2013001206907-055800,100-2013001206907-055800_a-3,Home,19:47:30,
333,100-2013001206907-055834,100-2013001206907-055834_a-1,Home,,08:36:11
334,100-2013001206907-055834,100-2013001206907-055834_a-2,Work,08:41:09,18:24:43
335,100-2013001206907-055834,100-2013001206907-055834_a-3,Home,18:30:13,
336,100-2013001222978-056053,100-2013001222978-056053_a-1,Home,,15:19:34
337,100-2013001222978-056053,100-2013001222978-056053_a-2,Secondary,15:26:06,18:55:03
338,100-2013001222978-056053,100-2013001222978-056053_a-3,Home,19:02:12,
339,100-2013001222978-056089,100-2013001222978-056089_a-1,Home,,08:34:16
340,100-2013001222978-056089,100-2013001222978-056089_a-2,Work,08:41:01,19:15:40
341,100-2013001222978-056089,100-2013001222978-056089_a-3,Home,19:23:31,
342,100-2013001394719-058725,100-2013001394719-058725_a-1,Home,,11:02:06
343,100-2013001394719-058725,100-2013001394719-058725_a-2,Secondary,11:17:19,13:21:41
344,100-2013001394719-058725,100-2013001394719-058725_a-3,Home,13:35:28,
345,100-2014000000467-060877,100-2014000000467-060877_a-1,Home,,09:31:27
346,100-2014000000467-060877,100-2014000000467-060877_a-2,Work,09:37:40,19:50:45
347,100-2014000000467-060877,100-2014000000467-060877_a-3,Home,19:57:43,
