taz,coord-x,coord-y,area
305,681704390059497,4825608.792517903,270631.15991133277
301,680575.93190576,482560511665718,316518.45485545235
298,683730034825508,4825670.492769916,636815811647135
299,684315.7719414618,482598085655605,558053.8534863283
291,678898.8208107193,4826045.569997355,1607735.4523343483
293,679847.7495378614,4825925.8341609305,134172557265248
286,682317.9299864229,4826326.214769199,1316576.5883641262
287,683528.941098309,4826531.995628599,588248.661455775
285,680937383025666,4826328.535483839,797102.264647225
297,684356.1613831845,4826521.113388011,293887.6648893243
269,680532.2872231487,482765826030444,2063579.3302710135
270,677746.4962000805,4826808.453405669,970467857863933
268,679153.9836590474,4827621.921364005,2617346.5436508604
271,683638.1085550414,482769460395142,983655.80347048
272,684360.1813750715,4827763.348921618,1304280.8238316455
245,682345.3053500266,4828086.878484425,6313487.95009401
261,684325.554796073,4828965.503886492,633615.7747474596
244,681029.5464206836,482932797130768,3382732.358381648
246,683616.9687416519,4829300.252627562,813824.135700936
231,677920883784916,4829393.297286963,1590426.4438807652
247,684245.2576128555,4829792.512670329,744490.1267695298
230,679095.4751120391,4829772.162794907,4224949.71125443
241,683967783053164,4830423.748672168,654023.4453168715
229,681129.694157413,4830502.900496707,1096658.4980779397
233,684091.7293575068,4830832.808257983,465095.38257376605
223,679006.8360919248,4832489.654745637,245243838434319
220,684725.3425530002,4831796.512528096,264.3170604176495
214,678224.6692060699,4831767.474188336,38077.68970725391
210,679900.2768686729,4832834.197772631,236154.86810063355
205,679084.6079947121,4833665.390733897,1172824.798361347
496,675623.1861468104,4818306.60540011,14361.84839123228
383,674743.8072531854,4821359.777969205,2158270.440152987
295,674511.2499889197,4823731.386827954,707275.3449396414
