taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,reservedFor
510,Residential,FlatFee,NoCharger,2147483647,0,Any
69,Workplace,FlatFee,NoCharger,2147483647,0,Any
327,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
18,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
23,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
143,Workplace,Block,DCFast(50|DC),2147483647,0,Any
470,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
284,Public,FlatFee,NoCharger,2147483647,0,Any
149,Residential,Block,Level2(7.2|AC),2147483647,0,Any
399,Public,Block,NoCharger,2147483647,0,Any
250,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
238,Public,Block,NoCharger,2147483647,0,Any
464,Public,Block,NoCharger,2147483647,0,Any
387,Public,Block,DCFast(50|DC),2147483647,0,Any
549,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
313,Public,FlatFee,NoCharger,2147483647,0,Any
162,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
581,Workplace,Block,DCFast(50|DC),2147483647,0,Any
167,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
302,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
479,Residential,FlatFee,NoCharger,2147483647,0,Any
225,Public,FlatFee,NoCharger,2147483647,0,Any
85,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
479,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
330,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
237,Residential,Block,Level1(2.3|AC),2147483647,0,Any
78,Workplace,Block,NoCharger,2147483647,0,Any
513,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
478,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
244,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
539,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
26,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
109,Workplace,FlatFee,NoCharger,2147483647,0,Any
302,Residential,Block,NoCharger,2147483647,0,Any
427,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
570,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
255,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
491,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
145,Residential,Block,NoCharger,2147483647,0,Any
84,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
446,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
233,Public,FlatFee,NoCharger,2147483647,0,Any
531,Public,Block,Level1(2.3|AC),2147483647,0,Any
506,Public,Block,UltraFast(250|DC),2147483647,0,Any
403,Public,Block,Level2(7.2|AC),2147483647,0,Any
31,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
406,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
364,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
223,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
576,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
382,Residential,Block,DCFast(50|DC),2147483647,0,Any
41,Public,Block,Level1(2.3|AC),2147483647,0,Any
125,Public,FlatFee,NoCharger,2147483647,0,Any
103,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
373,Public,Block,Level2(7.2|AC),2147483647,0,Any
560,Public,Block,Level2(7.2|AC),2147483647,0,Any
106,Public,Block,Level2(7.2|AC),2147483647,0,Any
463,Public,Block,Level2(7.2|AC),2147483647,0,Any
76,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
235,Public,Block,Level1(2.3|AC),2147483647,0,Any
154,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
173,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
226,Workplace,Block,DCFast(50|DC),2147483647,0,Any
127,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
317,Residential,Block,UltraFast(250|DC),2147483647,0,Any
125,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
406,Public,Block,Level2(7.2|AC),2147483647,0,Any
522,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
392,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
58,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
155,Public,Block,NoCharger,2147483647,0,Any
455,Workplace,Block,NoCharger,2147483647,0,Any
81,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
116,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
224,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
475,Public,Block,DCFast(50|DC),2147483647,0,Any
3,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
42,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
83,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
433,Public,Block,NoCharger,2147483647,0,Any
532,Public,Block,Level1(2.3|AC),2147483647,0,Any
134,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
412,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
344,Workplace,FlatFee,NoCharger,2147483647,0,Any
138,Public,Block,Level2(7.2|AC),2147483647,0,Any
78,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
145,Residential,Block,DCFast(50|DC),2147483647,0,Any
484,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
248,Public,FlatFee,NoCharger,2147483647,0,Any
62,Workplace,Block,DCFast(50|DC),2147483647,0,Any
186,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
96,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
164,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
296,Public,Block,UltraFast(250|DC),2147483647,0,Any
232,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
542,Workplace,Block,DCFast(50|DC),2147483647,0,Any
184,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
41,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
397,Public,Block,UltraFast(250|DC),2147483647,0,Any
537,Residential,Block,Level2(7.2|AC),2147483647,0,Any
71,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
342,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
315,Residential,Block,DCFast(50|DC),2147483647,0,Any
489,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
253,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
367,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
495,Workplace,Block,NoCharger,2147483647,0,Any
412,Public,Block,UltraFast(250|DC),2147483647,0,Any
195,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
472,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
508,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
454,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
200,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
84,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
502,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
356,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
373,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
186,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
59,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
195,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
405,Public,Block,Level1(2.3|AC),2147483647,0,Any
56,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
284,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
354,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
142,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
479,Public,FlatFee,NoCharger,2147483647,0,Any
450,Workplace,Block,DCFast(50|DC),2147483647,0,Any
482,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
89,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
425,Residential,Block,UltraFast(250|DC),2147483647,0,Any
14,Public,Block,Level2(7.2|AC),2147483647,0,Any
116,Residential,Block,Level1(2.3|AC),2147483647,0,Any
303,Public,Block,NoCharger,2147483647,0,Any
360,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
76,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
440,Residential,Block,DCFast(50|DC),2147483647,0,Any
404,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
134,Residential,Block,UltraFast(250|DC),2147483647,0,Any
74,Public,Block,DCFast(50|DC),2147483647,0,Any
427,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
106,Workplace,FlatFee,NoCharger,2147483647,0,Any
350,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
41,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
289,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
392,Residential,Block,Level2(7.2|AC),2147483647,0,Any
340,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
398,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
104,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
537,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
579,Public,Block,NoCharger,2147483647,0,Any
524,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
422,Workplace,FlatFee,NoCharger,2147483647,0,Any
444,Public,Block,Level2(7.2|AC),2147483647,0,Any
2,Residential,FlatFee,NoCharger,2147483647,0,Any
20,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
544,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
300,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
342,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
489,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
542,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
30,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
96,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
25,Residential,Block,DCFast(50|DC),2147483647,0,Any
569,Public,FlatFee,NoCharger,2147483647,0,Any
524,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
390,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
531,Residential,Block,Level2(7.2|AC),2147483647,0,Any
431,Residential,FlatFee,NoCharger,2147483647,0,Any
308,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
487,Public,Block,UltraFast(250|DC),2147483647,0,Any
389,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
107,Residential,Block,UltraFast(250|DC),2147483647,0,Any
293,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
134,Public,Block,DCFast(50|DC),2147483647,0,Any
262,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
183,Residential,Block,NoCharger,2147483647,0,Any
181,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
540,Residential,Block,DCFast(50|DC),2147483647,0,Any
470,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
199,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
144,Public,Block,Level1(2.3|AC),2147483647,0,Any
185,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
224,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
486,Workplace,FlatFee,NoCharger,2147483647,0,Any
255,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
437,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
186,Residential,Block,NoCharger,2147483647,0,Any
20,Residential,Block,DCFast(50|DC),2147483647,0,Any
405,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
297,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
240,Residential,Block,UltraFast(250|DC),2147483647,0,Any
126,Workplace,Block,DCFast(50|DC),2147483647,0,Any
548,Public,Block,DCFast(50|DC),2147483647,0,Any
566,Public,Block,UltraFast(250|DC),2147483647,0,Any
381,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
526,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
276,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
364,Residential,FlatFee,NoCharger,2147483647,0,Any
323,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
198,Workplace,Block,NoCharger,2147483647,0,Any
430,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
445,Public,FlatFee,NoCharger,2147483647,0,Any
484,Public,Block,DCFast(50|DC),2147483647,0,Any
128,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
200,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
397,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
280,Residential,Block,NoCharger,2147483647,0,Any
9,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
69,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
101,Public,Block,NoCharger,2147483647,0,Any
234,Public,Block,NoCharger,2147483647,0,Any
247,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
328,Public,Block,UltraFast(250|DC),2147483647,0,Any
240,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
554,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
308,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
193,Residential,Block,NoCharger,2147483647,0,Any
99,Public,Block,UltraFast(250|DC),2147483647,0,Any
471,Residential,FlatFee,NoCharger,2147483647,0,Any
288,Public,Block,UltraFast(250|DC),2147483647,0,Any
397,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
181,Public,Block,Level1(2.3|AC),2147483647,0,Any
253,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
454,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
567,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
105,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
411,Public,FlatFee,NoCharger,2147483647,0,Any
179,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
139,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
353,Residential,Block,UltraFast(250|DC),2147483647,0,Any
270,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
261,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
